Name,Lower Bound,Upper Bound,Value,Type,Var
sigma,0.000001,1000000,0.02459358953489328,Log,Random
kt,0.00001,0.002,0.00022753762913739028,Log,Random
leak,0,1,0.02032735126659185,Real,Random
bad,0,0.3,0.053521491833828184,Real,Random
T1,0,1800,570.1598823278939,Real,Random
