Name,Lower Bound,Upper Bound,Value,Type,Var
sigma,0.000001,1000000,0.02018595080254979,Log,Random
k,0.00001,0.002,0.00029151326665125704,Log,Random
bad,0,0.3,0.19964468911986621,Real,Random
T1,0,1800,598.3479511518219,Real,Random
