Time,sum(<_ tl1p^ l1p>),sum(<_ tl2p^ l2p>),sum(<_ tl3p^ l3p>)
0,0,0,0
499.4053818,0.023397084,0.000332783,2.60E-06
993.4481472,0.094104772,0.003497298,8.46E-05
1497.322033,0.208216316,0.012745695,0.000546688
1998.493395,0.357880661,0.030423532,0.00189703
2499.855078,0.538604839,0.058436606,0.004813986
2999.891205,0.745400371,0.098035011,0.010077741
3494.12385,0.972211898,0.149563552,0.018450661
3996.670062,1.222502443,0.215227887,0.03112987
4496.688063,1.488473808,0.294212472,0.048881445
4999.435466,1.770555463,0.38751198,0.072888003
5499.979224,2.063973612,0.494211355,0.103909969
5994.249982,2.364326378,0.612937067,0.142463769
6497.537435,2.6795048,0.747203955,0.190753738
6996.218164,2.999830101,0.893202236,0.248500573
7498.511624,3.329455295,1.052881176,0.317509447
7993.574984,3.660265553,1.222204766,0.396996464
8494.937572,4.000480512,1.405276417,0.489891925
8997.276403,4.3459048,1.599891471,0.596232479
9496.4479,4.693064488,1.803850996,0.715756312
9993.383042,5.042038973,2.016848511,0.849109292
10494.51912,5.396930787,2.241186169,0.99871208
10995.22783,5.754117292,2.474391087,1.16391922
11496.0932,6.113686124,2.716230873,1.3454334
11998.79798,6.476575301,2.967084969,1.544445089
12498.00096,6.838676878,3.22378609,1.759194373
12994.02024,7.199980724,3.485910402,1.989867827
13496.17258,7.567105875,3.758022674,2.241314467
13997.27546,7.934664479,4.035930073,2.510538254
14498.45098,8.30333945,4.319852463,2.798384189
14993.78315,8.668644667,4.605979851,3.101393364
15495.90687,9.039798907,4.901285078,3.4275817
15996.77332,9.410777812,5.200798065,3.772242292
16498.81511,9.783305351,5.505665096,4.137226755
16994.09508,10.15141494,5.810706325,4.516595041
17494.53272,10.52390515,6.122973694,4.919517116
17995.36802,10.89719196,6.439310633,5.342601546
18498.50739,11.27265638,6.760710472,5.787715494
18994.15551,11.64294445,7.080638589,6.245959932
19495.29409,12.01771962,7.407243964,6.729277082
19998.39597,12.3943244,7.73809838,7.234757622
20494.79499,12.76624253,8.067276995,7.75343885
20995.18037,13.14145922,8.401672554,8.296342597
