Time	Signal
0	0
60	0
120	0
180	0
240	0
300	0
360	0
420	0
480	0
540	0
600	0
600	0
660	0.0801403542323066
720	0.30285656663397
780	0.545160007060944
840	0.760144600725954
900	0.942123463164716
960	1.09507183191895
1020	1.22393525771784
1080	1.33296611023811
1140	1.4255879924264
1200	1.5045440815087
1260	1.57205860929364
1320	1.62993456824702
1380	1.67965992461325
1440	1.72246280719818
1500	1.759364748408
1560	1.79122715627787
1620	1.81876905184243
1680	1.84260198710296
1740	1.86324436144606
1800	1.88113593060059
1860	1.89665506550208
1920	1.91012364190328
1980	1.92181766534727
2040	1.9319774242336
2100	1.94080554544775
2160	1.94848024717866
2220	1.95515368042483
2280	1.96095813822881
2340	1.96600869385474
2400	1.97040197627765
2460	1.97422594305326
2520	1.9775552132749
2580	1.98045195451904
2640	1.98297489064074
2700	1.98517148160135
2760	1.98708368173871
2820	1.98874946646749
2880	1.99019968838164
2940	1.99146315569041
3000	1.99256311443716
3060	1.99352127390396
3120	1.99435665658341
3180	1.9950837914245
3240	1.99571761305605
3300	1.99626929097236
3360	1.99674906057258
3420	1.99716827310798
3480	1.99753289173021
3540	1.99785051147492
3600	1.99812770177264
3660	1.99836844819536
3720	1.99857840867675
3780	1.99876116122905
3840	1.99892059773577
3900	1.99906037578375
3960	1.99918096141294
4020	1.99928644932867
4080	1.99937850137957
4140	1.99945815195342
4200	1.99952824589327
4260	1.99958915435946
4320	1.99964231807497
4380	1.99968853319168
4440	1.99972788375289
4500	1.99976324139373
4560	1.99979376938759
4620	1.99982010942741
4680	1.99984364167141
4740	1.99986363368809
4800	1.99988111857027
4860	1.99989664299851
4920	1.99990958518008
4980	1.99992162934306
5040	1.9999315459796
5100	1.99994008587066
5160	1.99994765275381
5220	1.99995400999673
5280	1.99996063164252
5340	1.99996567975613
5400	1.99996980275356
5460	1.99997405551295
5520	1.99997703708489
5580	1.99998010638045
5640	1.99998294774227
5700	1.99998525397212
5760	1.99998668703237
5820	1.99998836459849
5880	1.99998987169193
5940	1.99999155292487
6000	1.99999270797906
