Time,A,B,C
0,0,0,0
103.91123546487174,0,26,23
205.27497329774786,3,83,43
305.4403636186551,10,129,52
405.5268628679468,8,125,40
505.946195422491,13,132,31
606.1653517484071,8,116,16
706.5593799409236,16,109,11
806.4436884368034,11,111,12
906.1706275152397,11,92,11
1007.1289118149933,10,79,20
1107.2566430564082,11,74,22
1206.4317642205658,18,76,16
1307.559537432179,19,52,12
1407.992867688328,14,43,17
1508.050058060913,8,38,24
1607.7964023715658,14,52,19
1707.735753118315,13,64,12
1808.3985220644756,8,49,14
1908.0812603885245,14,45,18
2008.7077319008217,29,39,14
2108.3821871561618,53,42,12
2209.159427401333,47,32,5
2309.084014973059,57,34,0
2409.4064188862876,85,38,0
2509.560600107608,110,35,0
2609.8409607601884,109,34,3
2709.7534041431445,97,31,1
2810.016420291013,102,30,0
2909.8411650178823,149,23,0
3009.7826933059728,156,17,3
3110.385260909921,135,22,8
3210.2566329071733,146,20,10
3310.2905471651557,152,13,9
3410.257324609446,148,18,8
3510.522491851695,134,25,10
3610.8754703240456,137,21,8
3711.178626275728,144,19,8
3811.351965713598,118,15,13
3911.512709104262,129,15,9
4011.655886303876,112,17,13
4112.017063229273,131,21,13
4212.185567312904,87,10,15
4312.787773183292,82,4,11
4412.510211118717,87,1,23
4512.6399449719165,91,0,26
4612.90562623805,89,7,48
4712.893276352519,87,6,45
4813.994037593715,71,20,39
4914.298293926317,48,24,36
5014.867524983751,39,14,31
5115.0970043221,38,20,32
5215.096900113966,45,16,26
5315.8238502744,46,13,19
5415.9141792701985,48,13,19
5515.996093450112,34,19,13
5615.889371782633,48,22,22
5716.6930976976655,46,31,32
5817.299424400423,44,26,26
5917.602687348175,40,26,30
6017.897213233401,31,27,24
6118.343633961529,35,14,41
6218.58218845076,38,10,22
6319.489906066127,38,7,27
6419.341722859131,23,9,24
6519.721253937668,29,8,28
6620.157646757462,24,7,20
6719.556658659775,27,4,32
6820.246584850718,31,4,40
6920.226938637144,36,4,47
7020.482598935067,39,8,53
7120.738540561613,41,17,36
7220.937148243938,41,15,30
7321.446071885893,41,13,24
7421.204848497338,47,9,24
7521.95382036663,30,11,28
7622.976194370749,30,6,26
7722.956166408864,28,3,16
7823.042922278822,19,2,35
7923.723193037357,13,2,51
8023.638861277981,21,1,81
8124.291964932402,18,0,121
8224.639569604662,11,1,143
8324.640640532465,10,0,129
8424.490921795785,9,0,163
8525.315060572482,6,5,159
8625.438291000866,7,10,152
8725.21900582938,3,13,139
8826.069282293938,0,18,94
8926.01949152394,0,34,97
9027.084532898596,0,76,77
9127.185705131458,0,187,52
9227.272866283478,0,285,50
9327.406823981708,0,375,50
9427.510507791581,0,411,43
9527.538969122767,5,449,31
9627.539302339568,11,446,25
9727.81379729904,11,386,17
9828.140971235385,12,355,18
9928.135098035435,13,306,17
10028.356868304918,14,234,18
10128.358710352713,22,239,13
10228.418869615496,25,193,11
10328.392807901959,24,170,8
10428.536274821197,23,174,7
10528.236734572074,28,129,7
10628.387357829095,23,133,7
10729.044458745173,26,124,7
10828.909235495561,26,127,14
10929.048393145002,36,109,6
11029.256624782392,26,96,1
11129.392279610382,48,77,0
11230.085596320767,82,59,0
11330.15276825258,105,62,0
11430.303760616926,128,57,0
11530.733560048353,138,53,0
11631.015987975406,116,59,0
11731.67178184373,111,34,0
11832.05227692824,170,32,0
11932.150680373605,240,26,0
12032.28667173352,348,20,0
12132.306507137087,475,14,0
12232.398418664714,554,25,0
12332.592035410167,634,20,0
12432.5784455772,701,25,0
12532.682239826037,737,30,0
12632.711393061561,753,20,0
12732.760596598911,700,21,2
12832.821933468987,645,23,3
12932.830371730473,611,23,2
13033.017497161605,527,13,1
13133.113787652184,472,13,11
13233.052816138372,444,13,12
13333.072809871357,408,7,22
13433.207008951174,392,13,20
13533.166189885675,351,7,15
13633.191950223507,337,2,19
13733.303665981759,338,1,29
13833.386553456483,256,1,36
13933.80347804562,261,0,45
14033.965198565886,207,0,94
14133.72936319437,189,0,138
14234.14102054902,153,0,195
14334.279913273806,143,0,245
14434.423174287867,139,0,309
14534.455951520646,110,0,353
14634.405491380227,95,0,415
14734.70546879825,82,0,504
14834.687538407878,81,0,601
14934.912022906952,62,0,655
15034.975483864913,75,0,652
15134.96292908238,72,0,716
15235.101516376919,54,0,714
15335.111859795328,48,0,752
15435.1460890678,41,0,736
15535.137332789269,37,0,861
15635.316658645464,37,0,891
15735.433420921963,35,0,893
15835.368044922017,36,7,905
15935.480969758435,32,8,900
16035.50802815676,31,13,802
16135.520694937855,30,9,763
16235.552844509919,21,9,649
16335.562753507887,17,9,630
16435.669314282564,21,12,541
16535.729268573454,16,16,536
16635.73919028712,20,19,476
16735.856394314203,23,23,428
16835.61159428425,11,8,369
16936.04527151302,12,16,355
17035.914238601952,12,18,286
17136.17209543873,11,27,312
17236.36093366946,11,37,288
17336.60586127413,17,42,259
17436.809133746916,27,47,262
17536.691290159386,16,50,238
17636.87631752254,6,40,242
17736.876818246248,7,36,215
17837.040453945217,11,34,202
17937.076678728336,7,33,168
18037.380765659105,5,45,166
18137.43253371791,6,44,153
18237.443453547046,7,61,141
18337.59563942835,9,59,132
18437.63351359136,3,47,114
18537.54143312436,12,41,83
18637.708478411518,7,44,77
18737.730608253114,11,37,57
18837.28499776187,16,41,51
18937.0796459162,17,45,56
19038.098468481407,20,52,59
19137.952118044956,21,39,46
19237.49217238702,16,44,64
19338.679967065727,13,35,67
19439.5937613055,11,27,58
19540.38589979148,7,26,42
19640.22227467349,9,31,39
19740.636068785345,8,47,43
19840.64755259374,11,58,31
19940.602574679233,11,66,33
20040.72443050798,10,61,24
20141.54570340322,17,77,24
20241.675801315694,9,74,22
20341.45711991326,7,78,29
20442.057158850952,8,72,33
20542.220369929648,7,79,34
20642.124129837717,9,90,24
20742.4981792959,26,81,30
20842.7035344396,30,73,21
20943.52399751663,44,90,21
21042.921901197024,54,86,16
21143.7717927901,52,72,19
