Time,receiver_gfp
0,0
100.02060968151537,4
200.0235028085403,7
300.02466686234146,12
400.0256456818009,12
500.02777302389205,4
600.0261546908744,1
700.0275919645397,1
800.0288187103721,0
900.0287679635784,0
1000.0301872282646,0
1100.029975901197,0
1200.0306725989528,0
1300.0334869317367,0
1400.0349732816371,0
1500.0348523395521,0
1600.035128016974,0
1700.0359717560705,0
1800.035914019848,0
1900.0369899158811,0
2000.0377129361539,0
2100.0379808007856,0
2200.0373802630875,0
2300.0385948816224,0
2400.0379134638056,0
2500.04062287006,0
2600.0407501935074,0
2700.0423135588526,0
2800.042874756687,0
2900.0430445179063,0
3000.044220027159,0
3100.0435589953636,0
3200.0446511695536,0
3300.0450106721732,0
3400.045038233435,0
3500.04596346297,0
3600.04583008927,0
3700.0463528858177,0
3800.0454974325753,0
3900.046865516563,0
4000.0458236858676,0
4100.0467630306075,0
4200.048351259069,0
4300.049158526296,0
4400.049279356403,0
4500.048923309308,0
4600.049648162631,0
4700.049311427717,0
4800.050806450938,0
4900.050782550269,0
5000.0512833439225,0
5100.051302071789,0
5200.051767171538,0
5300.052419325133,0
5400.053173354988,0
5500.053577509014,0
5600.054818842554,0
5700.055187908452,0
5800.055437302429,0
5900.056542585254,0
6000.056450419211,0
6100.057660957094,0
6200.058040146941,0
6300.058593683041,0
6400.058402365434,0
6500.055573035928,0
6600.059742983686,0
6700.059517202601,5
6800.060468516272,8
6900.0605109925245,8
7000.060563300007,8
7100.063394899366,10
7200.063617494085,16
7300.063647059625,24
7400.064371847522,25
7500.065036303397,24
7600.0657196257525,18
7700.066487514201,16
7800.066431045649,11
7900.0663588028865,13
8000.067327820066,10
8100.06744230592,4
8200.067054710005,2
8300.067869464241,1
8400.067839982385,0
8500.06712494147,0
8600.066736535364,0
8700.06836084838,0
8800.068600018063,0
8900.069005377001,0
9000.069465800534,0
9100.070861649467,0
9200.071348636575,0
9300.071561259505,3
9400.071725758415,8
9500.071849164655,10
9600.071414439351,7
9700.072286667511,5
9800.073063089085,15
9900.074062249256,14
10000.075513649119,14
10100.075735503966,10
10200.076233669439,12
10300.076701025315,5
10400.077489899662,5
10500.077275851781,3
10600.077202873383,0
10700.077823037429,0
10800.078695896393,0
10900.078672646787,0
11000.079924912845,0
11100.080057222782,0
11200.079803173145,0
11300.080229188692,0
11400.079536265903,0
11500.08114346221,0
11600.08136365496,0
11700.082156279843,0
11800.082186803813,0
11900.082526361082,4
12000.081971723359,11
12100.082080187658,8
12200.08302291862,11
12300.083350474924,10
12400.082489975566,10
12500.083156035642,13
12600.08368289988,14
12700.08440781648,17
12800.08399018028,22
12900.084754105179,15
13000.084763090943,16
13100.083634386085,13
13200.085376220497,6
13300.085125627566,9
13400.086690289656,8
13500.085426508962,5
13600.086970419019,8
13700.087768563566,11
13800.088100753088,9
13900.087655251691,7
14000.088850673468,3
14100.08982306462,0
14200.089274284237,3
14300.091416315094,4
14400.091106180524,5
14500.091380850548,7
14600.091628773767,14
14700.091852738458,18
