Time,predator_ccdB,prey_ccdB
0,0,0
103.7965511487902,0,0
203.78259856132678,2,11
303.84917048495885,0,24
403.9171822929292,4,61
503.946261318051,3,110
604.0148525888825,2,137
704.0502076964971,0,245
804.0781958062751,0,343
904.0732818427473,3,391
1004.0998613581747,3,457
1104.0858156590093,3,541
1204.1158142929519,4,660
1304.113276699057,18,703
1404.1395512188071,1,756
1504.144401229737,3,753
1604.1260760637058,0,735
1704.1425192772988,1,706
1804.1572844136183,1,753
1904.1530818725457,1,846
2004.16572711341,4,929
2104.1716818651194,3,993
2204.1782714581104,1,997
2304.167463769372,2,990
2404.1799407696635,2,1031
2504.2112776936347,0,1049
2604.2205545129304,3,1118
2704.219374455929,0,1118
2804.22372273912,1,1205
2904.2240492865776,3,1294
3004.228844316505,2,1327
3104.287825124614,2,1403
3204.2942497943513,2,1443
3304.3091232218712,3,1496
3404.314346693135,7,1420
3504.2991506415087,5,1428
3604.3479029406426,1,1442
3704.3877436667017,6,1502
3804.394828860801,3,1447
3904.3989388318946,1,1411
4004.432040456169,3,1375
4104.44617362178,15,1324
4204.475573483595,5,1354
4304.468002787686,3,1372
4404.475255915584,6,1386
4504.488208940777,1,1372
4604.496870533714,6,1404
4704.501547434786,7,1424
4804.505441446609,8,1434
4904.515966037497,120,1363
5004.492959044831,3,1342
5104.509670864501,7,1308
5204.5299089822265,5,1275
5304.519449827843,5,1206
5404.526090241034,3,1190
5504.537593773622,4,1105
5604.543384282422,2,1134
5704.539348251835,3,1104
5804.568739640293,6,1078
5904.570398545199,0,1131
6004.590570226379,3,1125
6104.585555559588,3,1093
6204.59579434982,1,1112
6304.597752871596,2,1145
6404.594138660775,1,1118
6504.575857117324,1,1150
6604.612254305535,1,1153
6704.6261741339495,1,1141
6804.627553444981,0,1158
6904.614714971181,0,1196
7004.626317286077,2,1239
7104.573482273674,0,1211
7204.641657158888,2,1205
7304.6490602784515,0,1253
7404.657508378812,1,1314
7504.653400809625,1,1370
7604.691381158499,2,1360
7704.6848977900545,0,1352
7804.706444544412,1,1306
7904.736675351641,3,1335
8004.730174282227,0,1386
8104.741001471773,3,1465
8204.757978084886,1,1583
8304.768101438342,1,1539
8404.772607533536,1,1530
8504.776942491746,3,1517
8604.772113843435,0,1518
8704.781681037655,2,1610
8804.790530568693,0,1738
8904.797518844754,4,1740
