Time,g703,mrna704,Y,g703_Y
0,1,0,0,0
114.4087098123049,1,1,8,0
213.64960850945798,0,1,11,1
316.09964977222927,0,1,8,1
416.00114258762466,0,1,9,1
516.3892683572595,0,1,9,1
616.6841953141621,0,2,8,1
716.0475686066388,0,3,30,1
817.4867862580577,0,3,25,1
917.4378688558688,0,2,21,1
1019.1211496069247,0,2,18,1
1116.5392238437053,0,2,16,1
1223.3625115577531,0,2,17,1
1324.3122194156797,0,2,26,1
1424.324303861969,0,2,21,1
1525.9982697972569,0,2,14,1
1632.067437228867,0,2,17,1
1732.2008540996974,0,2,23,1
1834.2098143705205,0,2,23,1
1937.6901312733537,0,2,16,1
2038.5619052318245,0,2,14,1
2142.094585506736,0,1,21,1
2241.2782000265347,0,1,12,1
2345.6614547017175,0,1,12,1
2448.1597501051647,0,1,15,1
2553.047420303934,0,1,10,1
2655.195124021906,0,1,11,1
2756.6931230073587,0,1,12,1
2856.362214178119,0,1,14,1
2961.638842782575,0,1,12,1
3062.5719226892043,1,2,8,0
3160.7917052266394,0,3,19,1
3262.201421126965,0,4,32,1
3364.060320195971,0,5,36,1
3464.5641868439816,0,5,50,1
3565.21710035201,0,5,45,1
3664.6453558572093,0,5,42,1
3769.0328133910452,0,4,42,1
3870.605307323887,0,2,25,1
3971.8812920676232,0,2,17,1
4072.9686218714464,0,2,14,1
4174.965260541385,0,2,16,1
4278.692267342976,0,1,17,1
4377.5677704957025,0,1,13,1
4478.524770788447,0,2,10,1
4578.387390270901,0,3,20,1
4683.060126364357,0,2,25,1
4785.6403161302005,0,2,16,1
4887.181164902342,0,2,21,1
4986.196842826158,0,2,17,1
5087.623267920732,0,3,27,1
5188.831728680149,0,3,31,1
5287.645786019582,0,2,28,1
5390.081242461225,0,2,24,1
5491.643945597525,0,2,28,1
5591.805978563282,1,2,19,0
5691.740235794135,0,3,20,1
5791.243697920884,0,3,34,1
5893.013082627013,0,3,38,1
5992.087439707258,0,2,32,1
6093.867929658104,0,1,20,1
6194.314814614409,0,1,12,1
6294.9767198910595,0,1,11,1
6395.464303430156,0,1,7,1
6495.57748761099,0,1,9,1
6595.471785072732,0,1,8,1
6696.942212046354,0,1,11,1
6799.295755682694,0,1,10,1
6898.307028682683,0,1,11,1
7000.281842335844,0,1,9,1
7100.49032116891,0,1,13,1
7200.857795959457,1,1,11,0
7300.693683860958,0,2,10,1
