Time,A,B,C
0,0,0,0
103.91123546487174,26,23,0
205.27497329774786,83,43,3
305.4403636186551,129,52,10
405.5268628679468,125,40,8
505.946195422491,132,31,13
606.1653517484071,116,16,8
706.5593799409236,109,11,16
806.4436884368034,111,12,11
906.1706275152397,92,11,11
1007.1289118149933,79,20,10
1107.2566430564082,74,22,11
1206.4317642205658,76,16,18
1307.559537432179,52,12,19
1407.992867688328,43,17,14
1508.050058060913,38,24,8
1607.7964023715658,52,19,14
1707.735753118315,64,12,13
1808.3985220644756,49,14,8
1908.0812603885245,45,18,14
2008.7077319008217,39,14,29
2108.3821871561618,42,12,53
2209.159427401333,32,5,47
2309.084014973059,34,0,57
2409.4064188862876,38,0,85
2509.560600107608,35,0,110
2609.8409607601884,34,3,109
2709.7534041431445,31,1,97
2810.016420291013,30,0,102
2909.8411650178823,23,0,149
3009.7826933059728,17,3,156
3110.385260909921,22,8,135
3210.2566329071733,20,10,146
3310.2905471651557,13,9,152
3410.257324609446,18,8,148
3510.522491851695,25,10,134
3610.8754703240456,21,8,137
3711.178626275728,19,8,144
3811.351965713598,15,13,118
3911.512709104262,15,9,129
4011.655886303876,17,13,112
4112.017063229273,21,13,131
4212.185567312904,10,15,87
4312.787773183292,4,11,82
4412.510211118717,1,23,87
4512.6399449719165,0,26,91
4612.90562623805,7,48,89
4712.893276352519,6,45,87
4813.994037593715,20,39,71
4914.298293926317,24,36,48
5014.867524983751,14,31,39
5115.0970043221,20,32,38
5215.096900113966,16,26,45
5315.8238502744,13,19,46
5415.9141792701985,13,19,48
5515.996093450112,19,13,34
5615.889371782633,22,22,48
5716.6930976976655,31,32,46
5817.299424400423,26,26,44
5917.602687348175,26,30,40
6017.897213233401,27,24,31
6118.343633961529,14,41,35
6218.58218845076,10,22,38
6319.489906066127,7,27,38
6419.341722859131,9,24,23
6519.721253937668,8,28,29
6620.157646757462,7,20,24
6719.556658659775,4,32,27
6820.246584850718,4,40,31
6920.226938637144,4,47,36
7020.482598935067,8,53,39
7120.738540561613,17,36,41
7220.937148243938,15,30,41
7321.446071885893,13,24,41
7421.204848497338,9,24,47
7521.95382036663,11,28,30
7622.976194370749,6,26,30
7722.956166408864,3,16,28
7823.042922278822,2,35,19
7923.723193037357,2,51,13
8023.638861277981,1,81,21
8124.291964932402,0,121,18
8224.639569604662,1,143,11
8324.640640532465,0,129,10
8424.490921795785,0,163,9
8525.315060572482,5,159,6
8625.438291000866,10,152,7
8725.21900582938,13,139,3
8826.069282293938,18,94,0
8926.01949152394,34,97,0
9027.084532898596,76,77,0
9127.185705131458,187,52,0
9227.272866283478,285,50,0
9327.406823981708,375,50,0
9427.510507791581,411,43,0
9527.538969122767,449,31,5
9627.539302339568,446,25,11
9727.81379729904,386,17,11
9828.140971235385,355,18,12
9928.135098035435,306,17,13
10028.356868304918,234,18,14
10128.358710352713,239,13,22
10228.418869615496,193,11,25
10328.392807901959,170,8,24
10428.536274821197,174,7,23
10528.236734572074,129,7,28
10628.387357829095,133,7,23
10729.044458745173,124,7,26
10828.909235495561,127,14,26
10929.048393145002,109,6,36
11029.256624782392,96,1,26
11129.392279610382,77,0,48
11230.085596320767,59,0,82
11330.15276825258,62,0,105
11430.303760616926,57,0,128
11530.733560048353,53,0,138
11631.015987975406,59,0,116
11731.67178184373,34,0,111
11832.05227692824,32,0,170
11932.150680373605,26,0,240
12032.28667173352,20,0,348
12132.306507137087,14,0,475
12232.398418664714,25,0,554
12332.592035410167,20,0,634
12432.5784455772,25,0,701
12532.682239826037,30,0,737
12632.711393061561,20,0,753
12732.760596598911,21,2,700
12832.821933468987,23,3,645
12932.830371730473,23,2,611
13033.017497161605,13,1,527
13133.113787652184,13,11,472
13233.052816138372,13,12,444
13333.072809871357,7,22,408
13433.207008951174,13,20,392
13533.166189885675,7,15,351
13633.191950223507,2,19,337
13733.303665981759,1,29,338
13833.386553456483,1,36,256
13933.80347804562,0,45,261
14033.965198565886,0,94,207
14133.72936319437,0,138,189
14234.14102054902,0,195,153
14334.279913273806,0,245,143
14434.423174287867,0,309,139
14534.455951520646,0,353,110
14634.405491380227,0,415,95
14734.70546879825,0,504,82
14834.687538407878,0,601,81
14934.912022906952,0,655,62
15034.975483864913,0,652,75
15134.96292908238,0,716,72
15235.101516376919,0,714,54
15335.111859795328,0,752,48
15435.1460890678,0,736,41
15535.137332789269,0,861,37
15635.316658645464,0,891,37
15735.433420921963,0,893,35
15835.368044922017,7,905,36
15935.480969758435,8,900,32
16035.50802815676,13,802,31
16135.520694937855,9,763,30
16235.552844509919,9,649,21
16335.562753507887,9,630,17
16435.669314282564,12,541,21
