Time	CFP (C6 = 1000000.0)	CFP (C6 = 333333.3)	CFP (C6 = 111111.1)	CFP (C6 = 37037.0)	CFP (C6 = 12345.7)	CFP (C6 = 4115.2)	CFP (C6 = 1371.7)	CFP (C6 = 457.2)	CFP (C6 = 152.4)	CFP (C6 = 50.8)	CFP (C6 = 16.9)	CFP (C6 = 0.0)
16.3375	22047	21892	20094	19625	19835	19880	19701	20021	19611	18997	19549	19362
16.50416667	21946	21761	20335	19857	20063	19709	19728	19962	19812	19115	19651	19422
16.67111111	22061	22049	20230	19729	19899	19774	19691	19972	19701	19109	19501	19527
16.83777778	22059	21998	20345	19962	19896	20068	19769	20036	19818	19344	19475	19562
17.00444444	22180	21998	20583	19842	20273	20089	19971	20017	20028	19210	19761	19561
17.17111111	22281	21979	20486	19943	20116	20036	19937	20114	19946	19318	19671	19685
17.33777778	22273	22162	20382	20032	20196	20161	19964	20056	20182	19389	19809	19816
17.50444444	22199	22231	20648	20009	20287	20027	20082	20292	20206	19399	19794	19740
17.67138889	22422	22331	20465	20031	20228	20137	19945	20152	20205	19448	19771	19764
17.83805556	22515	22276	20634	20068	20274	20125	20178	20204	20466	19435	19755	20020
18.00472222	22644	22310	20431	20085	20165	20158	20320	20254	20140	19381	20116	19854
18.17138889	22516	22251	20716	20092	20178	20196	20254	20412	20476	19648	19925	19874
18.33805556	22714	22208	20871	20172	20391	20308	20138	20438	20272	19570	20212	19840
18.505	22572	22241	20687	20418	20568	20312	20365	20579	20388	19840	20220	20042
18.67166667	22633	22434	20789	20164	20430	20214	20513	20454	20570	19616	20232	19891
18.83833333	22747	22560	20680	20254	20450	20280	20288	20415	20240	19761	20028	20032
19.005	22717	22578	20754	20378	20607	20421	20516	20720	20444	19642	20318	20117
19.17166667	22745	22718	21042	20237	20458	20424	20248	20585	20518	19620	20320	19948
19.33805556	22834	22503	20895	20557	20806	20390	20473	20774	20494	19896	20402	19978
19.50472222	22755	22544	20900	20387	20708	20347	20506	20637	20648	19950	20207	20106
19.67194444	22969	22572	21130	20756	20906	20644	20470	20742	20677	19955	20128	20277
19.83861111	22858	22651	21000	20714	20900	20574	20679	20740	20714	20124	20440	20036
