Time	CFP (C6 = 1000000.0)	CFP (C6 = 333333.3)	CFP (C6 = 111111.1)	CFP (C6 = 37037.0)	CFP (C6 = 12345.7)	CFP (C6 = 4115.2)	CFP (C6 = 1371.7)	CFP (C6 = 457.2)	CFP (C6 = 152.4)	CFP (C6 = 50.8)	CFP (C6 = 16.9)	CFP (C6 = 0.0)
0	6588	6656	6539	6650	6543	6735	6439	6447	6448	6310	6575	6491
0.166666667	6594	6684	6528	6449	6443	6606	6387	6469	6439	6279	6490	6296
0.333333333	6556	6536	6516	6448	6412	6551	6352	6365	6342	6258	6416	6370
0.5	6656	6471	6444	6405	6341	6510	6364	6374	6305	6296	6482	6251
0.666666667	6462	6434	6357	6502	6363	6683	6323	6298	6290	6084	6380	6286
0.833055556	6525	6431	6338	6294	6359	6494	6272	6355	6063	6187	6299	6322
0.999722222	6450	6485	6375	6315	6387	6498	6331	6284	6266	6070	6378	6394
1.166944444	6451	6362	6328	6460	6335	6482	6244	6344	6172	6137	6275	6316
1.333611111	6558	6374	6280	6294	6310	6518	6254	6142	6245	6166	6321	6280
1.500277778	6312	6489	6240	6462	6268	6419	6282	6208	6240	6103	6402	6227
1.666944444	6362	6358	6301	6446	6340	6556	6225	6290	6252	6049	6215	6229
1.833333333	6372	6358	6308	6378	6302	6554	6308	6210	6111	6125	6344	6258
2.000555556	6424	6454	6311	6411	6423	6470	6292	6236	6189	6224	6243	6250
2.167222222	6381	6486	6250	6360	6201	6399	6280	6169	6252	6092	6299	6426
2.333888889	6414	6423	6246	6428	6211	6404	6257	6164	6220	6179	6382	6258
2.500555556	6425	6353	6397	6420	6374	6537	6383	6205	6151	6061	6312	6263
2.667222222	6380	6405	6441	6260	6289	6510	6280	6309	6187	6088	6334	6255
2.833611111	6464	6479	6416	6354	6319	6575	6222	6203	6308	6209	6304	6281
3.000277778	6470	6340	6275	6477	6455	6361	6268	6309	6218	6208	6364	6242
3.1675	6373	6419	6372	6433	6280	6378	6257	6272	6165	6060	6399	6295
3.334166667	6362	6381	6390	6416	6350	6593	6191	6271	6252	6096	6395	6350
3.500833333	6453	6455	6475	6406	6378	6600	6333	6276	6317	6153	6396	6434
3.667222222	6524	6436	6434	6446	6360	6540	6284	6380	6312	6150	6348	6243
3.833888889	6464	6518	6431	6381	6341	6600	6290	6249	6335	6140	6376	6368
4.001111111	6536	6527	6427	6426	6491	6528	6320	6385	6306	6214	6512	6386
4.167777778	6536	6527	6290	6545	6376	6548	6344	6390	6411	6129	6539	6412
4.334444444	6497	6598	6509	6509	6398	6515	6404	6529	6273	6228	6446	6446
4.501111111	6634	6605	6324	6591	6386	6668	6420	6370	6424	6344	6428	6437
4.667777778	6574	6558	6364	6519	6485	6602	6329	6527	6421	6336	6435	6461
4.834722222	6636	6620	6442	6511	6547	6608	6455	6359	6476	6310	6500	6556
5.000833333	6681	6581	6595	6592	6529	6705	6360	6492	6558	6389	6576	6433
5.168055556	6726	6769	6549	6605	6535	6598	6462	6598	6493	6500	6632	6573
5.334722222	6692	6773	6594	6639	6689	6809	6624	6466	6591	6529	6685	6568
5.501388889	6670	6694	6588	6690	6644	6816	6557	6742	6493	6568	6772	6705
5.667777778	6704	7060	6636	6802	6800	6889	6600	6774	6671	6552	6939	6648
5.835	6817	6770	6691	6787	6830	6893	6720	6696	6783	6750	6892	6815
6.001111111	6736	6754	6805	6740	6713	6840	6748	6798	6787	6748	7002	7052
6.168333333	6921	6945	6868	6817	6827	7054	6755	6944	6897	6796	7043	6998
6.335	7005	7030	6886	6816	6964	7240	6809	7009	6978	6883	7170	7158
6.501388889	7068	7050	6994	6905	6961	7140	7096	7102	7086	7016	7165	7293
6.668055556	7203	7031	7056	7112	7108	7277	7037	7175	7266	7252	7391	7376
6.834722222	7202	7270	7122	7107	7101	7261	7164	7201	7234	7210	7598	7571
7.001944444	7418	7405	7152	7201	7342	7400	7270	7418	7460	7454	7780	7756
7.168611111	7507	7404	7092	7340	7337	7541	7368	7500	7600	7614	7808	7834
7.335277778	7594	7539	7535	7478	7503	7716	7542	7672	7608	7813	7918	8124
7.501666667	7707	7632	7660	7664	7774	7911	7613	7826	7937	8029	8198	8390
7.668888889	7893	7752	7596	7737	7817	7935	7847	8114	8176	8193	8566	8618
7.835555556	8044	7942	7750	7867	7948	8196	8194	8392	8444	8514	8840	8966
8.002222222	8117	8014	8002	7890	8244	8294	8260	8640	8752	8756	9155	9269
8.168888889	8403	8240	8065	8355	8411	8483	8594	8946	8992	9238	9616	9544
8.335555556	8616	8392	8451	8388	8652	8858	8859	9140	9298	9496	9833	9944
8.501944444	8854	8622	8536	8589	8934	9033	9117	9590	9672	9886	10308	10384
8.668611111	9158	8867	8968	8939	9197	9407	9316	9877	9922	10279	10620	10875
8.835277778	9363	9177	9095	9262	9503	9684	9807	10308	10534	10634	11100	11411
9.001944444	9902	9500	9338	9589	9824	10098	10024	10722	10832	11181	11574	11895
9.169166667	10025	9864	9664	9809	10189	10268	10528	11176	11211	11672	12234	12310
9.335555556	10340	10071	10138	10093	10594	10843	11086	11568	11735	12090	12756	12795
9.502222222	10542	10374	10434	10562	11096	11134	11329	12198	12419	12680	13134	13292
9.668888889	11011	10904	10769	11047	11484	11560	11783	12815	12851	13306	13621	13680
9.836111111	11281	11166	11138	11242	11775	11897	12325	13183	13284	13736	14128	14258
10.00277778	11634	11597	11473	11727	12296	12543	12826	13731	13928	14177	14470	14540
10.16944444	12048	11775	11869	12097	12849	12921	13226	14176	14564	14438	14732	14917
10.33583333	12556	12140	12462	12551	13364	13526	13948	14705	14909	14956	14998	15169
10.5025	12800	12734	12877	13141	13779	13997	14447	15254	15216	15114	15373	15406
10.66972222	13344	13234	13298	13557	14387	14533	14853	15825	15881	15298	15754	15693
10.83638889	13835	13669	13764	13929	14840	15258	15440	15884	15989	15485	15680	15965
11.00305556	14242	14074	14071	14310	15214	15546	15727	16129	16091	15759	15999	16012
11.16972222	14770	14633	14647	14994	15648	15839	16372	16454	16435	15984	16235	16390
11.33611111	15322	15117	15055	15520	16243	16352	16535	16803	16779	16151	16445	16313
11.50277778	15704	15547	15712	15896	16686	16687	16843	16864	16750	16212	16578	16506
11.66944444	16182	16160	15911	16366	17030	16973	16855	17276	17001	16455	16650	16734
11.83666667	16608	16550	16466	16591	17329	16797	17112	17286	17124	16565	16982	16868
12.00333333	17158	16809	16609	16861	17498	17544	17414	17652	17460	16480	17092	16930
12.16972222	17206	17280	17073	17134	17509	17556	17532	17686	17542	16872	17248	17075
12.33638889	17435	17679	17097	17207	17731	17488	17763	17952	17636	17100	17462	17180
12.50305556	17974	18018	17470	17419	18000	17875	17991	18101	17704	17294	17376	17460
12.66972222	17980	18081	17628	17534	18072	17807	18054	18193	17912	17286	17577	17656
12.83666667	17981	18317	17781	17687	18217	18146	18148	18486	18153	17557	17772	17567
13.00361111	18360	18666	17713	17897	18307	18420	18204	18557	18277	17432	17774	17670
13.17	18870	18986	17872	18113	18260	18498	18340	18554	18461	17648	18032	17732
13.33666667	18881	19063	18272	18218	18638	18520	18461	18905	18523	17690	18211	17988
13.50333333	19085	19301	18391	18450	18773	18602	18660	18730	18679	17879	18123	18009
13.67	19390	19275	18377	18461	18998	18767	18786	19038	18806	17762	18464	18028
13.83694444	19617	19464	18568	18614	18981	18840	19036	19282	18680	18146	18354	18082
14.00361111	19989	19938	18751	18649	19188	19026	18935	19074	18840	17954	18487	18266
14.17027778	19944	20070	18868	18742	19548	19110	19297	19322	18884	18252	18575	18372
14.33694444	20256	20162	19010	18986	19300	19096	19377	19210	18920	18266	18605	18363
14.50361111	20327	20440	19470	19090	19591	19403	19236	19398	19032	18308	18743	18514
14.67027778	20536	20686	19484	19435	19711	19630	19776	19485	19153	18460	18798	18750
14.83722222	20896	20961	19388	19445	19755	19696	19367	19276	19158	18294	18820	18680
15.00388889	20841	20878	19715	19487	19805	19584	19335	19471	19155	18559	18803	18600
15.17055556	21107	21151	19826	19590	19594	19658	19571	19538	19326	18520	18969	18944
15.33722222	21467	21518	19800	19571	19872	19580	19493	19797	19340	18603	18866	19059
15.50388889	21562	21486	19932	19476	19878	19724	19642	19452	19386	18725	19076	18947
15.67083333	21384	21537	20039	19429	19696	19583	19626	19752	19298	18613	19194	19022
15.83777778	21714	21655	20203	19728	19844	19809	19717	19924	19426	18960	19346	19276
16.00416667	21694	21614	20138	19692	19829	19810	19706	19834	19520	18998	19468	19310
16.17083333	21881	21776	20289	19703	19790	19755	19672	19838	19594	18809	19428	19267
