Time	S	T_7	T_6	T_5	T_4	T_3	T_2	T_1	T	sp_1	sp_0	sp_4	sp_3	sp_2	sp_7	sp_10	sp_9	sp_8	sp_5	sp_12	sp_11	sp_6	sp_14	sp_13	sp_16	sp_15	sp_18	sp_19	sp_20	sp_17	sp_22	sp_21
0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
300	0.77384677551158	0.996921945183468	0.999985676486511	0.999765870727653	0.999999275919505	0.996921945183468	0.77384677551158	0.999765870727653	0.966902031026346	0.193055255514767	0.226150309976191	0.0330866656814237	0.033332098246001	0.0269425834210841	0.00284392554418472	0.000234129156423513	0.000234853352841984	0.000234129272347353	0.00614480619550974	1.13032922299201E-05	1.13034375543939E-05	0.00284392554418472	0.000231214760117296	0.000219805758857937	2.91451223005681E-06	2.91451223005681E-06	1.3599432994785E-05	7.23935170157169E-07	1.45324473796572E-10	1.43233975655756E-05	1.15923840421876E-10	1.15923840421876E-10
600	0.645511696091741	0.983185360765609	0.999680799257416	0.997399986826488	0.999967490209852	0.983185360765609	0.645511696091741	0.997399986826488	0.902021912742954	0.256510216651214	0.354380916974967	0.0975766271044226	0.100578100430558	0.0643813185784124	0.0142146260608784	0.00259995479786158	0.00263252296366084	0.00260001317351254	0.0332277425724123	0.000401460152623295	0.00040153589636956	0.0142146260608784	0.00249262624021973	0.002280812430928	0.00010738693329281	0.00010738693329281	0.000286690952436234	3.2434046402041E-05	7.57437462654724E-08	0.000319142366933584	5.83756509558051E-08	5.83756509558051E-08
900	0.56744406892435	0.960874672581428	0.998301113703882	0.990846469285438	0.999738749387871	0.960874672581428	0.56744406892435	0.990846469285438	0.833377376662858	0.265933307738509	0.43182697883094	0.164036978178286	0.175776154051705	0.0886332191121275	0.0299717967040097	0.00915179207789091	0.00941478132669189	0.0091535307145624	0.0756627980562624	0.00258564515885592	0.00258785678088175	0.0299717967040097	0.008424578469851	0.00745464441844409	0.000728952244711409	0.000728952244711409	0.00143763568398883	0.000259038990103669	2.21162202582178E-06	0.00169714765944683	1.73863667148789E-06	1.73863667148789E-06
1200	0.51579852967677	0.934904298347111	0.994960925337266	0.979726905771698	0.998962415395478	0.934904298347111	0.51579852967677	0.979726905771698	0.770554506662086	0.254755976985316	0.481692218674999	0.22105602312318	0.249718587566217	0.100291674636659	0.0448226074245868	0.0202567822819276	0.0213106788328238	0.020273094228302	0.121781729022852	0.00838947021473488	0.00840967428292579	0.0448226074245868	0.0177638425800705	0.0152340195655683	0.0025092516482315	0.0025092516482315	0.00400149005821191	0.00101738053633088	2.02040681909137E-05	0.00502276271635934	1.63119463743626E-05	1.63119463743626E-05
1500	0.478716718898511	0.908679194712494	0.989117026586091	0.96489353239095	0.997189339502784	0.908679194712494	0.478716718898511	0.96489353239095	0.715714676073778	0.236997957175266	0.515268838946008	0.265350116862626	0.319391791535272	0.104454373848426	0.056214337678457	0.0350247409231713	0.0379171281062663	0.0351064676090497	0.163608333399446	0.0189352070635962	0.0190332771755671	0.056214337678457	0.0290920254535693	0.0242234941951409	0.00601444215548043	0.00601444215548043	0.00807231291669216	0.00271259038524571	9.80701119709176E-05	0.0108012467280304	8.17266858783918E-05	8.17266858783918E-05
1800	0.450146526960415	0.883756646898869	0.980679997661059	0.947593627876478	0.994017284310376	0.883756646898869	0.450146526960415	0.947593627876478	0.668474938714	0.218328411753586	0.538294122393839	0.29720317397252	0.383931433409522	0.105021070773361	0.0638369809776089	0.0521292144278017	0.0583890878131463	0.0524063721235225	0.197842468086238	0.0343218873134799	0.0346442381160252	0.0638369809776089	0.0408470214777756	0.0330863697845817	0.0115593506457469	0.0115593506457469	0.0133372866493169	0.00566036488707861	0.000322350802545245	0.01904284464322	0.000277157695720787	0.000277157695720787
2100	0.426880009429264	0.860595070538443	0.969935159304767	0.928921755909253	0.989176724543521	0.860595070538443	0.426880009429264	0.928921755909253	0.627761651575371	0.200881642146107	0.553938832622181	0.318310869234208	0.443316592515377	0.104251764957994	0.0683266853708101	0.0703549388152265	0.081901519547227	0.0710782440907473	0.22406753592024	0.0539274791904213	0.0547423230028746	0.0683266853708101	0.0518970861421916	0.0410134033955144	0.0191811579485557	0.0191811579485557	0.0192415652387533	0.0100084316440264	0.00081484381245326	0.029341535419712	0.000723305275520883	0.000723305275520883
2400	0.407137659428772	0.839022680268329	0.957313035294769	0.90974030409855	0.982601644234114	0.839022680268329	0.407137659428772	0.90974030409855	0.592458514793554	0.185320855364783	0.564129650652491	0.330769251838225	0.497801181107895	0.10298520150899	0.0707176238302216	0.0886927368583814	0.107658051667336	0.0902596959014496	0.243468590694206	0.0767722333682206	0.0784860487691362	0.0707176238302216	0.0615270059827118	0.0475727311962185	0.0287326899187378	0.0287326899187378	0.0252886089393445	0.0156845403649709	0.00171381540091564	0.0411200056621628	0.00156695904306821	0.00156695904306821
2700	0.389889608672938	0.818898577202099	0.943362879614443	0.890509065798845	0.974336118247217	0.818898577202099	0.389889608672938	0.890509065798845	0.561591334149519	0.171701725476581	0.570191026593425	0.336508627148753	0.547899600051635	0.101869702007461	0.0716104885967471	0.106530701167243	0.135154815953938	0.109490934201154	0.25715619058574	0.101900038701728	0.105046655010063	0.0716104885967471	0.0695715694675169	0.052853813815597	0.0399193647336375	0.0399193647336375	0.0309732386327741	0.0225172654444485	0.00314661630833479	0.0536768873516456	0.00296023303391185	0.00296023303391185
