Time	T21	T12
0	250	120
72	230.300250152987	80.9055513481404
144	241.47035622388	66.8687788968541
216	240.867353823888	58.6203479289732
288	236.309844320854	54.5195961202069
360	228.565297144114	55.205945797826
432	216.91846522382	60.9663055066716
504	200.886880113447	71.4566253133079
576	181.213926810752	84.9742504704981
648	160.079665991268	98.1937282495696
720	140.103499537645	107.960319633282
792	123.078699040069	113.654096706389
864	109.610174725475	116.591815821011
936	99.5254577205068	118.068467374066
1008	92.3433915524924	118.824736937619
1080	87.5416505854068	119.230577796299
1152	84.6635509950643	119.463231346789
1224	83.3444075495498	119.605907506723
1296	83.3060172236116	119.698390858914
1368	84.3411083970307	119.761229354346
1440	86.2974192756398	119.805573147595
1512	89.0628869919491	119.837840102593
1584	92.5532894514961	119.861940477935
1656	96.7019962462184	119.880314514376
1728	101.45163220634	119.894566330317
1800	106.747456801012	119.905772225723
1872	112.532534970941	119.914675567075
1944	118.744769226841	119.921801809301
2016	125.315553555517	119.927527548877
2088	132.170331800303	119.932137436354
2160	139.23047587708	119.935821757164
2232	146.415971001099	119.938765531567
2304	153.648353150853	119.941054076682
2376	160.853451026993	119.942796224041
2448	167.963392971784	119.944057019384
2520	174.917830354616	119.94488630065
2592	181.664425551846	119.945322731116
2664	188.158751592157	119.945393043272
2736	194.363764867939	119.945114742445
2808	200.249107792675	119.944497357859
2880	205.79044228439	119.943543315056
2952	210.968918022753	119.942248433122
3024	215.770803902379	119.94060218973
3096	220.187298112881	119.938587816573
3168	224.214480187054	119.936182150655
3240	227.853329666596	119.933355211052
3312	231.109716153449	119.93006961323
3384	233.994412345629	119.926279442057
3456	236.522831630275	119.921929136781
3528	238.714627984549	119.916951877611
3600	240.593126770337	119.911266832086
3672	242.184548450517	119.904776429337
3744	243.51715359584	119.897363391392
3816	244.620168715635	119.888884581536
3888	245.522828896675	119.879162995917
3960	246.253338223961	119.867983587732
4032	246.838279497571	119.855083211415
4104	247.301938829316	119.840117975925
4176	247.665786014812	119.822675012565
4248	247.948499576119	119.80222952762
4320	248.165683522495	119.778044156537
4392	248.33016896653	119.749342768153
4464	248.452186669093	119.714852614245
4536	248.539505474512	119.673050268183
4608	248.597780143343	119.62192024377
4680	248.630751066298	119.558613235262
4752	248.64038547458	119.479255486204
4824	248.626928015135	119.378319278525
4896	248.588799641467	119.248231613384
4968	248.522302293831	119.077677027582
5040	248.421001791982	118.850218382947
5112	248.274677053874	118.541096873018
5184	248.067540078986	118.113407170322
5256	247.775336994138	117.511334999087
5328	247.360593082184	116.651116647115
5400	246.765111542807	115.409820202921
5472	245.898273948475	113.620752216711
5544	244.620470699966	111.09073926645
5616	242.722568838178	107.662352383038
5688	239.907595081047	103.386896782595
5760	235.79166150715	98.7240711568338
5832	229.947713914127	94.6359401513534
5904	222.012322028466	92.3407877900894
5976	211.856368029366	92.7258603367928
6048	199.762986015937	95.8443510643577
6120	186.493811311158	100.760233792733
6192	173.13028908763	106.047714482407
6264	160.741729029315	110.537821396718
6336	150.097783615014	113.793637950038
6408	141.579455799083	115.942907384056
6480	135.259050496373	117.298546247216
6552	131.023753991655	118.140402114208
6624	128.675457215201	118.667401823542
6696	127.990670004421	119.004928829523
6768	128.749746166764	119.227777664844
6840	130.747904036941	119.3797413458
6912	133.797022850421	119.486348547536
6984	137.723820522169	119.562939700917
7056	142.367424416135	119.619007368415
7128	147.577754553818	119.660593396958
7200	153.215096676114	119.691635423566
