Time	(Species + (sp_97 + sp_96))	(Species_1 + (sp_39 + sp_38))	(Species_2 + (sp_8 + sp_7))
0	2	4	2
1000	1.4501527224876	2.93508109047292	1.48055368144751
2000	1.43514328194874	2.93461245647859	1.49664825280952
3000	1.42046973637552	2.93348331966282	1.51306049762333
4000	1.40613704818265	2.93170040002923	1.52978822676053
5000	1.39214657618961	2.9292644846798	1.54682585706121
6000	1.37850025820213	2.92617855665636	1.56416820634699
7000	1.3651998907029	2.92244632091358	1.5818098241633
8000	1.35224701917266	2.91807210005378	1.59974489838177
9000	1.33964296488843	2.9130606894546	1.61796726640399
10000	1.32738883995985	2.90741752717522	1.63647040593878
11000	1.31548556130169	2.90114861935281	1.65524743362568
12000	1.30393386505195	2.89426050498875	1.67429110052752
13000	1.29273432007884	2.88676021751951	1.69359378947774
14000	1.28188734327636	2.87865530678911	1.71314750832347
15000	1.2713932027045	2.86995385224282	1.73294388820626
16000	1.26125203015946	2.86066443985633	1.75297418372198
17000	1.25146382536626	2.85079617460637	1.77322927020013
18000	1.24202848491905	2.84035864049734	1.79369964328706
19000	1.2329457826434	2.82936192798803	1.81437541920551
20000	1.22421543279127	2.81781656042481	1.83524633895138
21000	1.21583702640386	2.8057335648395	1.8563017645358
22000	1.20781012872619	2.79312434743006	1.87753069810882
23000	1.20013419363169	2.78000080839499	1.89892176206553
24000	1.192808664698	2.76637519134245	1.9204632396572
25000	1.18583289795107	2.75226020173746	1.94214304027491
26000	1.17920624708935	2.73766886493098	1.96394875442163
27000	1.17292800836933	2.72261461480821	1.98586762032615
28000	1.16699749444347	2.70711115480089	2.00788659206674
29000	1.16141394136662	2.69117264461382	2.02999224074351
30000	1.15617660253534	2.6748134941751	2.05217087177802
31000	1.15128477591033	2.65804829521096	2.07440856748797
32000	1.1467376563052	2.64089216663028	2.09669098157785
33000	1.14253449787066	2.6233603496029	2.11900358966101
34000	1.13867461872103	2.6054681801324	2.14133171194702
35000	1.13515726669245	2.58723146414445	2.16366026662781
36000	1.13198175118967	2.56866607002766	2.18597405107335
37000	1.12914742802031	2.54978794909911	2.20825773583915
38000	1.12665366364973	2.53061332696966	2.23049570759229
39000	1.12449985915782	2.51115849801752	2.25267225225296
40000	1.12268543983228	2.49143984427091	2.27477154637587
41000	1.12120989959408	2.47147383619197	2.29677761226054
42000	1.12007275032999	2.45127700373793	2.31867439731746
43000	1.11927352679642	2.43086592366833	2.34044578195878
44000	1.11881183969812	2.41025716804934	2.36207557910824
45000	1.11868732288205	2.38946730842997	2.38354758181182
