Time	0.0x	0.2x	0.4x	0.6x
0	0.0085998	0.013106	0.0026472	0.0030179
60	0.24595	0.23868	0.30291	0.22961
120	0.42724	0.40118	0.39446	0.41135
180	0.45258	0.50085	0.49398	0.48926
240	0.54908	0.49008	0.52042	0.55471
300	0.56164	0.52142	0.54821	0.54091
360	0.57771	0.53941	0.56914	0.55815
420	0.60065	0.60329	0.5976	0.59258
480	0.61597	0.6002	0.57607	0.60544
540	0.57384	0.58121	0.5582	0.61182
600	0.6233	0.6269	0.59798	0.59705
660	0.57378	0.63299	0.65295	0.68762
720	0.57718	0.7392	0.9404	1.1039
780	0.58566	0.974	1.365	1.7464
840	0.61414	1.2219	1.8592	2.4058
900	0.57821	1.5156	2.3243	3.0387
960	0.60642	1.7036	2.6887	3.5998
1020	0.60805	1.873	3.0304	4.1131
1080	0.60296	2.0329	3.3526	4.498
1140	0.611	2.1403	3.5758	4.8484
1200	0.57648	2.2615	3.7325	5.1336
1260	0.62011	2.3206	3.919	5.3586
1320	0.60224	2.3674	4.0068	5.5313
1380	0.61458	2.4075	4.0964	5.6933
1440	0.58032	2.4272	4.1693	5.8213
1500	0.60103	2.4268	4.2319	5.8438
1560	0.61754	2.4717	4.2876	5.9262
1620	0.62028	2.4559	4.2854	6.0035
1680	0.59831	2.4583	4.2808	6.0341
1740	0.56293	2.4646	4.3551	6.1093
1800	0.57806	2.5073	4.332	6.1427
1860	0.60437	2.5128	4.3863	6.184
1920	0.61588	2.4599	4.3589	6.2057
1980	0.60926	2.4937	4.4067	6.2062
2040	0.58775	2.5025	4.3658	6.2175
2100	0.64489	2.486	4.3637	6.2626
2160	0.60145	2.5138	4.4081	6.2489
2220	0.61731	2.504	4.3645	6.2371
2280	0.59169	2.4962	4.4071	6.2722
2340	0.5777	2.4883	4.4039	6.2806
2400	0.6137	2.5132	4.3935	6.2728
2460	0.62075	2.5167	4.3901	6.2978
2520	0.63644	2.5092	4.4387	6.2915
2580	0.58942	2.4951	4.3905	6.2851
2640	0.56744	2.5184	4.3945	6.2904
2700	0.63235	2.4818	4.3798	6.3018
2760	0.60528	2.5029	4.3826	6.2852
2820	0.57746	2.5279	4.3873	6.2742
2880	0.58882	2.4962	4.4334	6.2929
2940	0.58382	2.4831	4.3915	6.2994
3000	0.62322	2.5389	4.3856	6.3077
3060	0.61184	2.4951	4.3906	6.2974
3120	0.60485	2.5088	4.4139	6.2891
3180	0.60481	2.4839	4.3734	6.3104
3240	0.58357	2.5058	4.4123	6.2965
3300	0.61986	2.5093	4.3731	6.315
3360	0.60693	2.5001	4.3972	6.2972
3420	0.59478	2.5065	4.3633	6.299
3480	0.59631	2.5241	4.4106	6.2974
3540	0.59797	2.4719	4.4137	6.281
3600	0.58226	2.5041	4.3861	6.2809
3660	0.61483	2.4602	4.4063	6.2803
3720	0.62784	2.5006	4.4032	6.3353
3780	0.64948	2.5386	4.4231	6.2956
3840	0.61008	2.5188	4.4025	6.3185
3900	0.58355	2.4999	4.4207	6.3067
3960	0.60402	2.4932	4.3976	6.3369
4020	0.57986	2.5106	4.387	6.3183
4080	0.58774	2.5211	4.3992	6.2753
4140	0.58682	2.5003	4.396	6.2933
4200	0.58334	2.5323	4.4176	6.3177
4260	0.60756	2.4837	4.3989	6.3056
4320	0.57769	2.46	4.3832	6.3452
4380	0.61334	2.485	4.3969	6.299
4440	0.61591	2.496	4.4238	6.2689
4500	0.62075	2.4925	4.3917	6.3088
4560	0.59959	2.4831	4.3868	6.2817
4620	0.61238	2.5267	4.4197	6.3009
4680	0.63606	2.4677	4.402	6.3215
4740	0.60106	2.4902	4.3927	6.3061
4800	0.59644	2.4806	4.3852	6.306
4860	0.63545	2.4905	4.3704	6.296
4920	0.54982	2.4867	4.4031	6.297
4980	0.59087	2.5096	4.3937	6.2979
5040	0.64861	2.4792	4.4064	6.244
5100	0.59057	2.4836	4.3709	6.3078
5160	0.58879	2.502	4.4264	6.3198
5220	0.57547	2.5217	4.4097	6.274
5280	0.61586	2.4629	4.3687	6.2695
5340	0.5578	2.536	4.4211	6.3124
5400	0.58401	2.4824	4.3882	6.2698
5460	0.61134	2.513	4.406	6.2664
5520	0.59997	2.521	4.4044	6.3158
5580	0.61248	2.5265	4.3824	6.2869
5640	0.60253	2.4897	4.3428	6.3249
5700	0.61362	2.5005	4.4107	6.2741
5760	0.57425	2.4968	4.3932	6.2877
5820	0.60436	2.4879	4.388	6.3048
5880	0.56867	2.5054	4.4084	6.311
5940	0.61567	2.5072	4.3862	6.3093
6000	0.59379	2.493	4.4134	6.3038
