Time,0.2x,0.4x,0.6x,0.8x
0,0.0073706,-0.024845,0.010637,-0.017598
60,0.04384,-0.010099,-0.015193,-0.018449
120,0.030714,0.006517,0.0069597,0.046288
180,0.018145,-0.022228,-0.013956,0.01176
240,0.0080452,0.0093637,0.040386,-0.0061954
300,-0.010768,0.0064523,-0.035874,-0.020659
360,-0.0023043,0.0020004,-0.01319,0.022067
420,0.03644,0.0060287,0.015429,0.0068422
480,-0.04043,0.00047647,-0.016407,-0.04528
540,-0.01274,-0.00044109,0.00035776,-0.018066
600,-0.0037761,-0.00017516,0.013091,0.059401
660,0.26879,0.54817,0.81699,1.0514
720,0.3847,0.83566,1.2311,1.6194
780,0.52159,0.96457,1.5157,1.9992
840,0.57858,1.1144,1.6703,2.2225
900,0.57649,1.191,1.773,2.3741
960,0.60843,1.2439,1.8404,2.435
1020,0.6002,1.2747,1.8553,2.4878
1080,0.66335,1.2415,1.9044,2.5144
1140,0.64208,1.2835,1.9095,2.5132
1200,0.6318,1.2778,1.8991,2.5666
1260,0.61962,1.2717,1.9186,2.5424
1320,0.64087,1.278,1.9355,2.5445
1380,0.67303,1.278,1.9373,2.5601
1440,0.64512,1.2819,1.9318,2.5563
1500,0.64684,1.2842,1.9178,2.5482
1560,0.61586,1.2663,1.907,2.5617
1620,0.64324,1.2589,1.9241,2.6017
1680,0.65548,1.2992,1.9105,2.5705
1740,0.61234,1.2755,1.9132,2.5467
1800,0.66255,1.3083,1.9384,2.5425
1860,0.6893,1.2615,1.9489,2.5551
1920,0.60884,1.2681,1.9319,2.5284
1980,0.59866,1.3084,1.961,2.5965
2040,0.63855,1.3081,1.8894,2.5641
2100,0.65518,1.2594,1.9204,2.5367
2160,0.63837,1.2841,1.9219,2.5624
2220,0.63683,1.3068,1.9523,2.5311
2280,0.64013,1.3067,1.93,2.5716
2340,0.61871,1.2543,1.9135,2.5564
2400,0.60712,1.3124,1.9311,2.5608
2460,0.67163,1.2932,1.9328,2.5672
2520,0.64585,1.2845,1.9237,2.5771
2580,0.61625,1.2755,1.8795,2.5438
2640,0.66152,1.2607,1.9405,2.5307
2700,0.61405,1.2819,1.8502,2.5579
2760,0.63756,1.2749,1.9222,2.5435
2820,0.65482,1.3262,1.889,2.5685
2880,0.62319,1.2838,1.9129,2.5229
2940,0.63301,1.2765,1.948,2.5772
3000,0.64059,1.2797,1.9097,2.5661
3060,0.67905,1.2677,1.9583,2.5378
3120,0.64918,1.3214,1.9356,2.5537
3180,0.63201,1.2927,1.9151,2.5768
3240,0.63549,1.2815,1.9019,2.6085
3300,0.63439,1.3025,1.9101,2.553
3360,0.66613,1.2793,1.9275,2.5876
3420,0.63431,1.278,1.8726,2.5428
3480,0.62417,1.2689,1.9323,2.5641
3540,0.64481,1.2677,1.9256,2.5558
3600,0.63811,1.3121,1.9364,2.5668
3660,0.65586,1.2954,1.961,2.55
3720,0.65919,1.2817,1.9135,2.5316
3780,0.66174,1.3141,1.9004,2.5546
3840,0.65294,1.2805,1.9436,2.5688
3900,0.65265,1.2858,1.9379,2.5499
3960,0.67807,1.2516,1.9171,2.5563
4020,0.6168,1.2895,1.9081,2.568
4080,0.63305,1.2511,1.925,2.5708
4140,0.6061,1.2602,1.8974,2.5453
4200,0.65839,1.299,1.9213,2.5546
4260,0.64043,1.287,1.9072,2.5774
4320,0.63401,1.2626,1.9036,2.5666
4380,0.60558,1.272,1.9394,2.533
4440,0.64367,1.2851,1.9206,2.591
4500,0.63481,1.2844,1.947,2.5477
4560,0.6129,1.2458,1.8983,2.546
4620,0.61685,1.2559,1.9248,2.5315
4680,0.62476,1.2445,1.8991,2.5578
4740,0.63499,1.2786,1.9324,2.5579
4800,0.60702,1.2456,1.9461,2.5535
4860,0.63636,1.294,1.9405,2.5432
4920,0.65231,1.2599,1.8777,2.5268
4980,0.63247,1.2579,1.9336,2.6202
5040,0.62604,1.3158,1.9202,2.59
5100,0.64608,1.3232,1.9267,2.5528
5160,0.66202,1.2636,1.9091,2.5577
5220,0.63107,1.2793,1.887,2.5672
5280,0.63067,1.3193,1.9379,2.5598
5340,0.61128,1.2692,1.9099,2.5486
5400,0.62045,1.3144,1.9134,2.5787
5460,0.65212,1.2964,1.9234,2.5372
5520,0.63773,1.2811,1.9707,2.5991
5580,0.65529,1.2729,1.9659,2.5247
5640,0.6534,1.3139,1.8936,2.5535
5700,0.64752,1.2942,1.9105,2.5775
5760,0.65533,1.2673,1.9397,2.5624
5820,0.67047,1.2879,1.8785,2.5299
5880,0.65154,1.2624,1.9449,2.5784
5940,0.64852,1.283,1.9137,2.5633
6000,0.63914,1.3106,1.948,2.5437
