Time	M0	M1	L0	L1
0	0	0	0	0
100	0	999.999999999999	0	981.925711961886
200	0	999.999999999999	0	990.975120819106
300	0	999.999999999999	0	993.987307949717
400	0	999.999999999999	0	995.49220966929
500	0	999.999999999999	0	996.394691411548
600	0	999.999999999999	0	996.996130498053
700	0	999.999999999999	0	997.425614937576
800	0	999.999999999999	0	997.747661136882
900	0	999.999999999999	0	997.998099549498
1000	0	999.999999999999	0	998.198422635374
1100	0	999.999999999999	0	998.362304354216
1200	0	999.999999999999	0	998.498858958559
1300	0	999.999999999999	0	998.614395295284
1400	0	999.999999999999	0	998.713419051329
1500	0	999.999999999999	0	998.799233990492
1600	0	999.999999999999	0	998.874317665679
1700	0	999.999999999999	0	998.940564491997
1800	0	999.999999999999	0	998.999447774706
1900	0	999.999999999999	0	999.052130557674
2000	0	999.999999999999	0	999.099543209191
2100	0	999.999999999999	0	999.142438835133
2200	0	999.999999999999	0	999.181433575952
2300	0	999.999999999999	0	999.217036389018
2400	0	999.999999999999	0	999.249671383733
2500	0	999.999999999999	0	999.279694795049
2600	0	999.999999999999	0	999.307408039186
2700	0	999.999999999999	0	999.333067867527
2800	0	999.999999999999	0	999.356894344179
2900	0	999.999999999999	0	999.379077172695
3000	0	999.999999999999	0	999.399780757226
3100	0	999.999999999999	0	999.419148283902
3200	0	999.999999999999	0	999.437305036786
3300	0	999.999999999999	0	999.454361110844
3400	0	999.999999999999	0	999.470413646058
3500	0	999.999999999999	0	999.485548678493
3600	0	999.999999999999	0	999.49984268278
3700	0	999.999999999999	0	999.513363864442
3800	0	999.999999999999	0	999.526173248112
3900	0	999.999999999999	0	999.538325598346
4000	0	999.999999999999	0	999.549870202245
4100	0	999.999999999999	0	999.560851537542
4200	0	999.999999999999	0	999.571309845266
4300	0	999.999999999999	0	999.581281622456
4400	0	999.999999999999	0	999.590800047662
4500	0	999.999999999999	0	999.599895349747
4600	0	999.999999999999	0	999.608595128545
4700	0	999.999999999999	0	999.616924634576
4800	0	999.999999999999	0	999.624907013824
4900	0	999.999999999999	0	999.632563522516
5000	0	999.999999999999	0	999.639913716112
5100	0	999.999999999999	0	999.646975616072
5200	0	999.999999999999	0	999.653765857385
5300	0	999.999999999999	0	999.660299819385
5400	0	999.999999999999	0	999.666591742029
5500	0	999.999999999999	0	999.672654829492
5600	0	999.999999999999	0	999.678501342661
5700	0	999.999999999999	0	999.684142681885
5800	0	999.999999999999	0	999.689589461168
5900	0	999.999999999999	0	999.694851574839
6000	0	999.999999999999	0	999.699938257503
6100	0	999.999999999999	0	999.704858138133
6200	0	999.999999999999	0	999.70961928893
6300	0	999.999999999999	0	999.71422926951
6400	0	999.999999999999	0	999.71869516694
6500	0	999.999999999999	0	999.723023632115
6600	0	999.999999999999	0	999.72722091279
6700	0	999.999999999999	0	999.731292883671
6800	0	999.999999999999	0	999.735245073854
6900	0	999.999999999999	0	999.73908269187
7000	0	999.999999999999	0	999.742810648582
7100	0	999.999999999999	0	999.746433578148
7200	0	999.999999999999	0	999.749955857255
7300	0	999.999999999999	0	999.753381622728
7400	0	999.999999999999	0	999.756714787758
7500	0	999.999999999999	0	999.759959056813
7600	0	999.999999999999	0	999.763117939367
7700	0	999.999999999999	0	999.766194762562
7800	0	999.999999999999	0	999.769192682899
7900	0	999.999999999999	0	999.772114697034
8000	0	999.999999999999	0	999.774963651784
8100	0	999.999999999999	0	999.777742253358
8200	0	999.999999999999	0	999.780453075936
8300	0	999.999999999999	0	999.783098569647
8400	0	999.999999999999	0	999.785681067917
8500	0	999.999999999999	0	999.788202794357
8600	0	999.999999999999	0	999.790665869147
8700	0	999.999999999999	0	999.793072314984
8800	0	999.999999999999	0	999.795424062598
8900	0	999.999999999999	0	999.79772295594
9000	0	999.999999999999	0	999.799970757014
9100	0	999.999999999999	0	999.802169150352
9200	0	999.999999999999	0	999.804319747241
9300	0	999.999999999999	0	999.806424089665
9400	0	999.999999999999	0	999.808483653977
9500	0	999.999999999999	0	999.810499854367
9600	0	999.999999999999	0	999.812474046088
9700	0	999.999999999999	0	999.814407528508
9800	0	999.999999999999	0	999.816301547953
9900	0	999.999999999999	0	999.818157300389
10000	0	999.999999999999	0	999.819975933938
