Time	sp_23	sp_78	sp_34	sp_89
0	0	0	0	0
3.6	9.71532951561511E-15	1.03001695202948E-14	4.62853403272517E-09	4.42407831686155E-09
7.2	4.93448533865079E-13	5.44884818355408E-13	7.02831737681482E-08	6.46791919490686E-08
10.8	4.84460043598892E-12	5.55672249643028E-12	3.36843405096426E-07	2.99123067847535E-07
14.4	2.34603078749823E-11	2.7778906000988E-11	1.00577364115177E-06	8.64674788175396E-07
18	7.8091966118509E-11	9.51785298592799E-11	2.32120090282089E-06	1.93707476088654E-06
21.6	2.06250906527925E-10	2.58195007534054E-10	4.5568136838407E-06	3.6991660719191E-06
25.2	4.63271020036384E-10	5.93992387974732E-10	8.00438712144676E-06	6.33388141104696E-06
28.8	9.23951726603792E-10	1.21007228079005E-09	1.29670865940994E-05	1.00209711629156E-05
32.4	1.68416619212637E-09	2.24805518883122E-09	1.97511858860591E-05	1.49330482778073E-05
36	2.86206828099979E-09	3.88711356534264E-09	2.86592883848903E-05	2.12335380311671E-05
39.6	4.59750852443236E-09	6.34390844358304E-09	3.99903974588185E-05	2.90788100499259E-05
43.2	7.05153095082674E-09	9.8725237081761E-09	5.40380613975635E-05	3.86184706452216E-05
46.8	1.04054552181473E-08	1.47637588767288E-08	7.10878789555273E-05	4.99953868484252E-05
50.4	1.48618761388781E-08	2.13457287389428E-08	9.14199616042514E-05	6.33451597603451E-05
54	2.06414372562125E-08	2.99810810060734E-08	0.000115302076438915	7.87970713239887E-05
57.6	2.79855532190304E-08	4.10689679069134E-08	0.000142996679815556	9.64734611455408E-05
61.2	3.71512563611086E-08	5.50397947929167E-08	0.00017475196037151	0.000116491155418469
64.8	4.84144745121863E-08	7.23579772961941E-08	0.000210809347406294	0.000138960681010965
68.4	6.20652116153106E-08	9.3516089466628E-08	0.000251397938766699	0.000163987798934577
72	7.84094524767304E-08	1.19036458441626E-07	0.000296738650495515	0.000191672818284385
75.6	9.77666724789197E-08	1.49467847314845E-07	0.00034704229507198	0.000222111508510302
79.2	1.20468858333051E-07	1.85383104493195E-07	0.000402511382079233	0.00025539512003209
82.8	1.46861553059109E-07	2.27381308379368E-07	0.00046333909880742	0.000291610255663334
86.4	1.77299119824902E-07	2.76079206793507E-07	0.000529711123383663	0.000330839849882005
90	2.12149698824821E-07	3.32120107060977E-07	0.000601803886775309	0.000373162111994244
93.6	2.51787355863262E-07	3.96159885658452E-07	0.000679787092109163	0.00041865218697527
97.2	2.96599213405706E-07	4.68879671000272E-07	0.000763821505912139	0.000467380664080434
100.8	3.46977780290159E-07	5.50972215164051E-07	0.000854061365288345	0.000519415194535601
104.4	4.03323226044956E-07	6.43145908228242E-07	0.000950653785150096	0.000574820016657569
108	4.6604249044101E-07	7.46123184219255E-07	0.00105373908020055	0.000633656136663093
