Time,sp_0,sp_1,sp1,sp2,sp_2
0,6500,5000,0,0,5000
7.044297524965372,6500,4763,0,26,4763
14.040219280656787,6498,4559,2,92,4559
21.088301215287373,6490,4379,10,199,4378
28.071836802575785,6483,4243,17,332,4241
35.14125161389827,6479,4103,21,463,4100
42.167090262269106,6450,3964,50,584,3960
49.13866488078625,6432,3839,68,708,3833
56.10819603151207,6415,3704,85,832,3697
63.18463726691557,6398,3605,102,960,3597
70.21023215075843,6363,3507,137,1078,3496
77.23266126761115,6328,3404,172,1200,3392
84.24865539091331,6286,3302,214,1314,3283
91.26855813693312,6244,3216,256,1403,3194
98.32367361416807,6202,3137,298,1502,3110
105.32252951754526,6161,3072,339,1582,3033
112.35658942553272,6120,3002,380,1666,2953
119.31998645294964,6079,2945,421,1743,2890
126.5320525817314,6039,2890,461,1827,2822
133.51114248697914,5990,2834,510,1918,2760
140.47493038145979,5935,2772,565,1989,2687
147.54954128867533,5884,2721,616,2061,2630
154.53515066003152,5824,2668,676,2134,2569
161.5603591801036,5770,2623,730,2191,2508
168.56890967585943,5731,2587,769,2252,2454
175.57894167877424,5667,2561,833,2335,2410
182.56713802953905,5621,2530,879,2395,2355
189.67993031885626,5572,2517,928,2452,2316
196.69598443517506,5534,2482,966,2491,2262
203.72116876558522,5497,2451,1003,2525,2219
210.73887523634437,5442,2421,1058,2592,2178
217.76947824841878,5388,2398,1112,2638,2136
224.81453802873307,5333,2367,1167,2682,2095
232.00977407023726,5291,2346,1209,2730,2051
238.95706025110994,5248,2326,1252,2770,2013
246.03540685985956,5205,2299,1295,2802,1972
253.0882391166402,5149,2289,1351,2850,1934
260.0736588065547,5109,2265,1391,2878,1896
267.08588479870474,5060,2258,1440,2925,1864
274.08880622031063,5014,2262,1486,2965,1828
281.109487831695,4980,2244,1520,2978,1794
288.11189262889553,4938,2233,1562,3022,1771
295.1365884898103,4901,2225,1599,3061,1741
302.1837593480214,4859,2230,1641,3090,1715
309.20155370464914,4816,2224,1684,3117,1684
316.1652979547881,4776,2225,1724,3131,1661
323.27172152446326,4734,2225,1766,3153,1639
330.27934790527746,4683,2212,1817,3190,1613
337.3082502442235,4650,2208,1850,3226,1591
344.29947078122984,4614,2204,1886,3253,1559
351.37349344621424,4576,2198,1924,3278,1532
358.36136354661977,4542,2207,1958,3301,1515
365.3936615920797,4501,2208,1999,3327,1489
372.41184224822234,4464,2200,2036,3355,1454
379.45793214469114,4433,2196,2067,3381,1432
386.4378607937366,4397,2202,2103,3415,1413
393.50620139190926,4358,2193,2142,3434,1389
400.5059220664413,4319,2199,2181,3460,1375
407.5270590706398,4293,2188,2207,3480,1350
414.49546180821176,4258,2177,2242,3500,1320
421.54391347384484,4235,2181,2265,3521,1300
428.5868012708777,4196,2179,2304,3550,1283
435.6178579368309,4158,2175,2342,3574,1263
442.6291590969705,4129,2172,2371,3594,1236
449.69584959499605,4107,2171,2393,3616,1218
456.76249049127904,4077,2157,2423,3617,1194
463.7685147528044,4047,2151,2453,3650,1180
470.751365147913,4017,2156,2483,3666,1165
477.8164269299147,3986,2153,2514,3685,1147
484.82845899079683,3962,2157,2538,3714,1128
491.8542063295921,3942,2154,2558,3727,1117
498.88767515350133,3919,2173,2581,3756,1103
505.89121692822624,3890,2187,2610,3777,1089
512.9063104753774,3856,2181,2644,3790,1073
519.9513487854658,3831,2176,2669,3806,1051
526.9978317915709,3805,2169,2695,3821,1026
534.1496117691812,3780,2167,2720,3842,1009
541.2457248836449,3754,2178,2746,3867,1001
548.1848244378743,3729,2181,2771,3891,982
555.2943266877163,3710,2169,2790,3907,969
562.3568448600789,3689,2173,2811,3916,952
569.3655917855025,3672,2194,2828,3938,937
576.2527110849932,3642,2193,2858,3952,927
583.3674999612953,3621,2195,2879,3964,916
590.4059833163311,3592,2189,2908,3968,906
597.4438518244974,3568,2182,2932,3983,887
604.416730320122,3553,2196,2947,3994,871
611.5047477517813,3530,2214,2970,4007,855
618.5236674924198,3512,2221,2988,4031,839
625.5373070658533,3491,2225,3009,4035,830
632.4795184962961,3471,2233,3029,4050,809
639.5076148099769,3452,2227,3048,4061,791
646.6373999717646,3433,2242,3067,4078,780
653.6059079937297,3413,2248,3087,4094,766
660.7632694331352,3387,2248,3113,4113,749
667.678076271851,3366,2273,3134,4134,744
674.7658268219666,3350,2274,3150,4139,729
681.7799708758237,3336,2273,3164,4142,719
688.8379586555151,3312,2297,3188,4151,713
695.8802564259275,3293,2309,3207,4158,706
702.8817905333616,3278,2314,3222,4171,695
709.9432858273227,3259,2325,3241,4195,683
716.9488535457596,3233,2326,3267,4215,674
723.8453555432463,3216,2318,3284,4215,672
730.9446947117121,3196,2320,3304,4221,661
738.0298363707922,3182,2321,3318,4221,649
745.0397432911651,3164,2334,3336,4233,639
752.0160905692363,3145,2327,3355,4246,635
759.1172223065063,3124,2318,3376,4259,626
766.1178194205601,3110,2312,3390,4284,608
773.1603511147875,3091,2284,3409,4285,593
780.164674022958,3078,2293,3422,4296,584
787.1775550333388,3059,2323,3441,4286,578
794.2086593111488,3049,2324,3451,4311,568
801.0814635169005,3030,2333,3470,4334,560
808.2324925881421,3015,2332,3485,4336,547
815.3214711500843,3003,2336,3497,4350,537
822.2334255128662,2987,2343,3513,4353,532
829.293345384158,2970,2339,3530,4369,521
836.3428072482824,2960,2334,3540,4383,512
843.3960266108114,2947,2329,3553,4383,503
850.4316323307766,2929,2328,3571,4387,495
857.5057855940794,2921,2326,3579,4399,483
864.4794680008956,2912,2327,3588,4411,474
871.5220596598867,2902,2347,3598,4425,470
878.5106422685011,2885,2346,3615,4443,466
885.6133915008239,2868,2346,3632,4452,457
892.6408104748666,2855,2339,3645,4457,449
899.6963545837272,2841,2335,3659,4455,436
906.7017029547296,2823,2317,3677,4467,436
913.7102659057554,2810,2293,3690,4460,427
920.6813775535439,2795,2299,3705,4476,422
927.7041904800473,2777,2304,3723,4479,416
934.6811523429417,2767,2313,3733,4477,413
941.8248426184583,2758,2317,3742,4479,405
948.888225268282,2744,2325,3756,4490,398
955.9002691516137,2734,2315,3766,4501,389
962.9905252869156,2718,2311,3782,4510,388
970.0162122511261,2706,2318,3794,4521,378
976.9901431268626,2689,2314,3811,4537,373
984.1339605105036,2678,2319,3822,4550,368
991.1719812734863,2667,2304,3833,4548,353
998.117665142429,2659,2318,3841,4556,347
1005.2347238924926,2647,2315,3853,4564,344
1012.2958521001689,2638,2328,3862,4577,344
1019.3007950466935,2628,2333,3872,4577,338
1026.2732499913006,2621,2352,3879,4576,335
1033.3668796667387,2609,2367,3891,4582,334
1040.396216964958,2599,2366,3901,4580,328
1047.3740169197424,2593,2386,3907,4588,323
1054.4526339273846,2587,2389,3913,4593,320
1061.4065388304948,2580,2395,3920,4596,317
1068.5593111028377,2570,2406,3930,4598,317
1075.5667751599883,2564,2410,3936,4603,313
1082.637946197077,2552,2404,3948,4609,312
1089.5846630846595,2539,2404,3961,4612,306
1096.6821908364896,2531,2401,3969,4626,298
1103.6933016312573,2524,2398,3976,4628,293
1110.7105366252777,2512,2394,3988,4624,290
1117.7837952297189,2498,2402,4002,4636,285
1124.7896662820697,2486,2388,4014,4644,282
1131.8033617695742,2480,2413,4020,4644,274
1138.8216967632382,2471,2408,4029,4661,272
1145.8428337021633,2460,2408,4040,4655,273
1152.8931140556595,2444,2419,4056,4660,271
1159.9380612728432,2437,2426,4063,4658,271
1166.9485729474109,2428,2429,4072,4655,266
1173.9572777735364,2424,2439,4076,4664,257
1180.745616413522,2420,2441,4080,4664,257
1187.982947794186,2407,2447,4093,4678,254
1194.9186704205983,2401,2433,4099,4674,250
1202.0269894725197,2395,2447,4105,4671,248
1209.0696373628684,2389,2457,4111,4686,247
1216.0709728060642,2377,2467,4123,4691,242
1223.1428762968626,2371,2479,4129,4694,238
1230.1434173151065,2361,2481,4139,4700,230
1237.156369784564,2353,2470,4147,4699,223
1244.1791123362375,2343,2456,4157,4700,220
1251.0764846615339,2338,2458,4162,4708,219
1258.2939834615293,2329,2466,4171,4709,214
1265.3206423559002,2320,2467,4180,4728,207
1272.2269043371477,2315,2468,4185,4734,204
1279.2910565621735,2309,2473,4191,4736,200
1286.2473332757895,2302,2483,4198,4735,199
1293.3959854575137,2295,2495,4205,4739,197
1300.417725724294,2289,2500,4211,4744,195
1307.4256219310007,2281,2476,4219,4743,194
1314.4821073626974,2278,2463,4222,4736,192
1321.574270618278,2268,2466,4232,4753,186
1328.596096950996,2263,2454,4237,4754,182
1335.6345672689345,2258,2452,4242,4746,179
1342.6276088287937,2255,2460,4245,4760,178
1349.6249553549653,2246,2442,4254,4767,172
1356.6421696027594,2239,2448,4261,4760,169
1363.7635520438764,2235,2447,4265,4766,170
1370.7622441582334,2228,2451,4272,4766,166
1377.7283614569158,2221,2460,4279,4766,163
