Time,sp_0,sp_1,sp_2,sp4,sp5,sp6,sp7,sp8,sp9
0,13,10,10,0,0,0,0,0,0
24.26895621183711,13,9,9,0,0,0,1,1,0
40.618029508638855,13,8,8,0,0,0,1,1,1
52.29173582353536,13,8,8,0,0,0,2,2,0
67.36481648326496,13,7,7,0,0,0,3,3,0
76.74837651019112,12,7,7,0,1,1,3,2,0
184.02832672572913,12,7,7,0,1,1,3,2,0
203.78198053717887,12,6,6,0,1,1,3,2,1
211.45618533401753,12,6,6,0,1,1,4,3,0
230.7057651583608,12,5,5,0,1,1,4,3,1
282.9029585861072,11,5,5,0,2,2,5,3,0
300.72897836778174,11,4,4,0,2,2,5,3,1
313.68612022129184,11,3,3,0,2,2,5,3,2
321.91866867340264,11,3,3,0,2,2,7,5,0
332.0132854840584,10,3,3,0,3,3,6,3,1
350.1895910815853,10,4,4,0,3,3,6,3,0
362.37396230400924,10,5,4,1,3,2,6,3,0
418.627184137291,10,4,3,1,3,2,6,3,1
447.11142745286486,10,4,3,1,3,2,7,4,0
473.16193991990906,9,4,3,1,4,3,7,3,0
520.9183262517142,9,3,2,1,4,3,8,4,0
590.9370782337915,9,3,2,1,4,3,7,3,1
601.553203113052,9,3,2,1,4,3,8,4,0
670.9014388558109,9,3,2,1,4,3,7,3,1
693.0481984753094,9,4,2,2,4,2,7,3,1
716.2099601335615,9,4,2,2,4,2,8,4,0
732.3026496904683,8,4,2,2,5,3,8,3,0
761.8409583753872,8,5,2,3,5,2,8,3,0
798.5263026739284,8,5,1,4,5,1,8,3,1
812.0483064986864,8,5,1,4,5,1,9,4,0
834.4941720395963,7,3,1,2,6,4,8,2,1
845.7608311141652,7,3,1,2,6,4,9,3,0
927.9346508235327,7,4,1,3,6,3,9,3,0
967.4702031468328,7,5,1,4,6,2,9,3,0
1007.3086382065844,7,6,1,5,6,1,9,3,0
1030.145353211991,7,5,1,4,6,2,9,3,0
1057.9307940519218,7,5,0,5,6,1,9,3,1
1065.3919253404645,7,5,0,5,6,1,10,4,0
1076.031676171257,7,5,0,5,6,1,9,3,1
1091.138229279839,6,6,0,6,7,1,9,2,1
1094.479658662391,6,5,0,5,7,2,10,3,0
1182.1408943266827,6,3,0,3,7,4,10,3,0
1195.087552318651,5,3,0,3,8,5,10,2,0
1210.6573631741028,5,4,0,4,8,4,10,2,0
1233.3770676765937,5,5,0,5,8,3,10,2,0
1273.033749081192,5,4,0,4,8,4,9,1,1
1300.067277156852,5,5,0,5,8,3,9,1,1
1318.235176405006,5,6,0,6,8,2,10,2,0
1343.7327367396388,5,6,0,6,8,2,9,1,1
1363.001818609883,5,6,0,6,8,2,10,2,0
1379.4435331929965,5,5,0,5,8,3,10,2,0
1393.9893324417728,5,6,0,6,8,2,10,2,0
1405.2063396038154,5,7,0,7,8,1,9,1,1
1418.8037157545134,5,7,0,7,8,1,10,2,0
1445.152338545743,5,6,0,6,8,2,10,2,0
1458.6447240488374,5,7,0,7,8,1,10,2,0
1485.8133229753132,5,6,0,6,8,2,10,2,0
1500.5217912781588,5,5,0,5,8,3,10,2,0
1515.9035030121067,4,4,0,4,9,5,10,1,0
1549.5319186024517,4,4,0,4,9,5,9,0,1
1568.5835820820141,4,5,0,5,9,4,10,1,0
1576.3941500608364,4,5,0,5,9,4,10,1,0
1614.893969675727,4,4,0,4,9,5,10,1,0
1631.5827860017766,4,5,0,5,9,4,10,1,0
1651.1568522646958,4,7,0,7,9,2,10,1,0
1657.9782465770643,3,7,0,7,10,3,10,0,0
1667.7634017107173,3,6,0,6,10,4,10,0,0
1676.9847659933087,3,5,0,5,10,5,10,0,0
1689.2757744386622,3,4,0,4,10,6,10,0,0
1706.487921747492,3,5,0,5,10,5,10,0,0
1738.3017259055027,3,5,0,5,10,5,10,0,0
1760.6253686158088,3,6,0,6,10,4,10,0,0
1776.481018702271,3,7,0,7,10,3,10,0,0
1866.538353317067,3,6,0,6,10,4,10,0,0
1882.755498664766,3,5,0,5,10,5,10,0,0
1929.9058665579184,3,4,0,4,10,6,10,0,0
1974.9333299296966,3,5,0,5,10,5,10,0,0
1996.414540772294,3,4,0,4,10,6,10,0,0
2034.3415665856826,3,3,0,3,10,7,10,0,0
2061.672221418096,3,4,0,4,10,6,10,0,0
2104.608498834412,3,5,0,5,10,5,10,0,0
2119.745713109758,3,4,0,4,10,6,10,0,0
2149.9482062870065,3,5,0,5,10,5,10,0,0
2182.6346627984462,3,5,0,5,10,5,10,0,0
2199.473947967213,3,4,0,4,10,6,10,0,0
2242.706256668422,3,3,0,3,10,7,10,0,0
2259.4931022205733,3,5,0,5,10,5,10,0,0
2374.3951607203594,3,5,0,5,10,5,10,0,0
2389.6192294283783,3,6,0,6,10,4,10,0,0
2411.0042180755436,3,6,0,6,10,4,10,0,0
2463.815052404719,3,5,0,5,10,5,10,0,0
2512.4150630126123,3,5,0,5,10,5,10,0,0
2564.293455841374,3,5,0,5,10,5,10,0,0
2589.489835299839,3,4,0,4,10,6,10,0,0
2611.2193364659893,3,5,0,5,10,5,10,0,0
2675.8407526371234,3,6,0,6,10,4,10,0,0
2703.039543687534,3,8,0,8,10,2,10,0,0
2719.7558463190257,3,6,0,6,10,4,10,0,0
2732.358005158946,3,7,0,7,10,3,10,0,0
2740.977146476163,3,6,0,6,10,4,10,0,0
2775.776996249739,3,5,0,5,10,5,10,0,0
2799.015067589153,3,4,0,4,10,6,10,0,0
2822.140995283291,3,3,0,3,10,7,10,0,0
2858.1808008061253,3,4,0,4,10,6,10,0,0
2905.915048067299,3,5,0,5,10,5,10,0,0
2920.4734557304146,3,6,0,6,10,4,10,0,0
2955.6797490363037,3,5,0,5,10,5,10,0,0
2974.537390370725,3,6,0,6,10,4,10,0,0
2986.0874595963614,3,5,0,5,10,5,10,0,0
3031.4683751432894,3,4,0,4,10,6,10,0,0
3071.9780025494106,3,3,0,3,10,7,10,0,0
3151.938963731223,3,2,0,2,10,8,10,0,0
3183.722188776205,3,1,0,1,10,9,10,0,0
3199.0184255144773,3,2,0,2,10,8,10,0,0
3213.778118119846,3,2,0,2,10,8,10,0,0
3241.3724879489378,3,3,0,3,10,7,10,0,0
3249.0604482783083,3,4,0,4,10,6,10,0,0
3264.710090181601,3,5,0,5,10,5,10,0,0
3305.4074672731854,3,4,0,4,10,6,10,0,0
3382.5290169008017,3,3,0,3,10,7,10,0,0
3404.177107768334,3,4,0,4,10,6,10,0,0
3428.9070655324354,3,3,0,3,10,7,10,0,0
3446.8847517345966,3,4,0,4,10,6,10,0,0
3454.760789030726,3,5,0,5,10,5,10,0,0
3478.799453597288,3,5,0,5,10,5,10,0,0
3545.2119580123012,3,4,0,4,10,6,10,0,0
3547.8883804811767,3,5,0,5,10,5,10,0,0
3579.037786573253,3,4,0,4,10,6,10,0,0
3711.819294787204,3,5,0,5,10,5,10,0,0
3749.0823850557326,3,5,0,5,10,5,10,0,0
3758.3997734733907,3,7,0,7,10,3,10,0,0
3771.6820746389253,3,8,0,8,10,2,10,0,0
3857.6886172643212,3,7,0,7,10,3,10,0,0
3879.035098946345,3,6,0,6,10,4,10,0,0
3901.137962790663,3,7,0,7,10,3,10,0,0
3958.792058652246,3,6,0,6,10,4,10,0,0
3982.257419042525,3,8,0,8,10,2,10,0,0
3998.8615112112193,3,7,0,7,10,3,10,0,0
4027.1241124918765,3,6,0,6,10,4,10,0,0
4051.5622715015893,3,5,0,5,10,5,10,0,0
4071.245708252122,3,6,0,6,10,4,10,0,0
4095.262011635095,3,5,0,5,10,5,10,0,0
4118.296803396532,3,7,0,7,10,3,10,0,0
4127.424979893162,3,7,0,7,10,3,10,0,0
4164.13369428012,3,6,0,6,10,4,10,0,0
4184.613162820113,3,7,0,7,10,3,10,0,0
4198.165866200811,3,6,0,6,10,4,10,0,0
4216.119597265913,3,5,0,5,10,5,10,0,0
4249.187496277481,3,6,0,6,10,4,10,0,0
4265.896137522032,3,7,0,7,10,3,10,0,0
4329.370983217595,3,8,0,8,10,2,10,0,0
4350.557504667519,3,7,0,7,10,3,10,0,0
4369.860193890512,3,6,0,6,10,4,10,0,0
4388.329429438952,3,5,0,5,10,5,10,0,0
4424.19148514067,3,6,0,6,10,4,10,0,0
4439.741247661135,3,7,0,7,10,3,10,0,0
4481.6156470351425,3,6,0,6,10,4,10,0,0
