Time,(([sp267] + [sp268]) + [Species]),(([sp256] + [sp257]) + [Species_1]),(([sp261] + [sp262]) + [Species_2])
0,200,400,200
249.93138927694022,179,370,185
499.9901002161679,177,368,177
749.9707278057857,168,359,191
1000.4920712137495,172,353,185
1250.3958865671716,168,364,182
1500.518323630985,173,356,180
1750.49958914165,166,366,181
2000.561701821077,169,355,185
2250.5691617087227,172,352,183
2500.9473427631865,180,354,178
2751.14179396062,166,349,191
3001.2184131883764,169,361,190
3251.2743363795425,176,365,193
3501.004180974741,174,353,188
3751.3904229178647,169,347,197
4001.4860907395023,163,345,191
4251.462832229006,168,350,196
4501.688055853326,164,363,202
4752.024726433592,157,361,198
5002.38917752101,162,363,197
5252.337764115955,155,356,199
5502.326614911435,153,349,200
5752.512282825874,152,351,198
6002.842724647172,162,352,206
6253.211623292477,162,350,203
6503.268966185958,159,361,203
6753.409682202718,159,347,208
7003.331170833873,159,357,213
7253.689910497788,158,343,202
7503.831865552299,155,342,210
7754.158747656973,155,351,212
8003.9542717901695,152,348,207
8254.050256520863,144,348,219
8504.344330642003,158,351,226
8754.728038048102,153,347,223
9004.63489030701,133,348,213
9254.547675139947,130,358,219
9504.94076605339,139,345,230
9754.900846720524,134,357,228
10004.992037468726,136,349,224
10255.37698185581,139,340,220
10505.616941947761,133,336,229
10755.644664225767,143,344,225
11005.801722709573,138,339,232
11255.769837731732,134,337,231
11505.88070837544,132,340,233
11756.20239265748,137,327,232
12005.757184597867,132,328,250
12256.177447877446,136,326,256
12506.25966939482,133,329,254
12756.46004845648,134,332,257
13006.940117733566,138,323,247
13256.735181192762,134,318,251
13507.071765976929,136,321,257
13756.851257916267,142,321,254
14007.086516781774,138,323,254
14257.274061061282,140,314,258
14507.32115754188,137,315,251
14757.602960822607,138,310,257
15007.965629100365,139,312,262
15258.033641514201,132,309,263
15508.2670517107,134,313,259
15758.274812458663,137,325,269
16008.42658181068,131,300,268
16258.613590126923,135,297,265
16508.809276313124,136,311,274
16758.93155336507,132,301,268
17008.949336466874,140,301,262
17258.961561365464,133,301,276
17508.872446929974,136,312,273
17758.780528583105,135,309,274
18009.04874166876,131,309,279
18259.127363108957,139,306,275
18509.064893955783,132,305,270
18759.17802297094,138,303,277
19009.431699836252,141,301,286
19259.464272502886,129,298,280
19509.73217265379,130,293,280
19759.655913401195,135,296,285
20009.815922893034,132,285,274
20259.798492604805,136,301,288
20509.56081585468,138,291,296
20759.890499796078,130,291,296
21009.93092454231,131,286,291
21260.425888110654,135,287,293
21510.56733238895,130,284,297
21760.537518218956,126,287,296
22010.784933231625,123,269,302
22260.671581027633,130,283,301
22510.75180252172,137,273,307
22760.49191666737,134,282,299
23010.977850579675,141,267,306
23261.502852479975,146,271,299
23511.764939130317,136,266,309
23761.78703862019,142,274,311
24011.911873995563,148,272,312
24262.009469505472,134,272,302
24512.105570630352,143,269,294
24762.013811609093,145,261,302
25012.232016977647,144,263,312
25262.388928846372,143,268,318
25512.68721519393,143,250,301
25762.949818499805,149,249,303
26012.397954558553,150,253,314
26262.99668744328,144,257,310
26513.02924839278,151,248,314
26763.161125416576,149,246,307
27013.16482469598,150,255,310
27263.072152766053,144,238,311
27513.32407122779,150,255,308
27763.551274043606,143,253,318
28013.62227728453,147,242,317
28263.686381491552,146,246,326
28513.97820032531,153,245,327
28764.197614961,158,234,324
29014.43834178844,154,230,325
29264.180374786305,152,240,326
29514.615167771084,148,240,312
29764.665899605992,154,237,333
30014.87227027014,160,246,330
30265.02347405223,151,238,323
30514.98942841572,152,241,328
30765.31701401347,153,234,316
31015.517409594722,145,244,315
31265.62631505184,153,235,327
31515.581273072505,153,227,334
31765.728096937386,154,228,335
32015.977104531907,152,231,325
32265.806164555896,155,232,345
32516.11344477637,148,229,338
32766.05592554672,150,220,352
33016.25029301833,154,216,336
33266.3331518464,147,228,345
33516.24472696481,146,224,342
33766.61890498397,146,220,346
34016.31992728861,153,213,346
34267.0128099882,147,218,345
34516.89893580905,156,213,357
34767.00328886188,146,217,349
35017.0986233998,156,208,350
35267.10786057749,157,202,355
35517.08831496993,154,201,360
35767.14882962864,152,204,364
36017.07574852803,147,200,355
36267.23087362102,150,193,358
36517.33975234606,157,198,352
36767.49790749127,151,197,354
37017.544065818314,161,204,358
37267.3784211344,158,196,363
37517.391616747984,159,199,354
37767.74385221485,160,200,360
38017.756183972604,163,200,354
38267.89237705503,169,199,361
38518.00190061133,169,185,357
38767.991287849654,175,188,362
39018.20631693891,164,193,351
39268.07213269319,170,194,354
39518.36423493713,177,190,354
39768.31174316281,175,186,365
40018.37730922781,173,185,363
40268.340032010216,181,179,357
40518.493819346506,174,175,358
40768.38166288538,172,178,361
41018.34402345433,173,173,362
41268.627737771785,171,179,368
41518.76703929537,171,173,365
41768.83728221136,173,170,372
42018.900740393394,168,170,358
42269.35024392111,177,162,367
42519.52829288506,170,175,363
42769.636833931916,167,171,369
43019.60008818227,175,174,364
43269.53065075036,171,169,381
43519.534211314436,175,171,369
43769.77608797304,177,171,368
44019.82205130303,175,173,362
44269.79900328346,169,162,373
44520.27412199103,180,171,363
44770.26033587424,172,162,381
45020.37287858209,182,166,377
45270.35303057089,180,167,354
