Time,sum([sp_0]),sum([sp15]),sum([sp14])
0,100,0,0
30.474737687149208,100,0,0
60.23881306986739,100,0,0
91.31126752300001,100,0,0
121.51387655026703,99,0,0
149.12130309864662,100,0,0
179.61412363546043,99,0,0
213.9114018478746,99,1,1
253.76748181389496,99,1,1
287.2100907201014,99,1,1
326.92682121484677,98,1,1
353.1731748961394,98,2,2
405.39282651287476,98,2,2
454.62071669347745,97,2,2
489.24805408265325,94,3,3
519.4319879267033,94,6,6
550.9692575814985,94,6,6
582.5685513099362,94,6,6
644.060800528475,94,6,6
686.924490195602,94,6,6
721.3637217224938,94,6,6
780.1489469208329,93,7,7
841.8264809774618,93,7,7
911.5868976925319,92,7,7
921.5184747595667,93,7,7
1020.6435550541644,91,9,9
1048.0402042994958,91,9,9
1074.9774912131738,91,9,9
1144.943523510257,89,10,10
1167.6879833928992,89,10,10
1224.0914448095732,88,11,11
1271.2532163669134,87,12,12
1301.9891130227197,85,13,13
1333.2009213325082,84,16,16
1363.7978052672695,83,16,16
1392.0194199607408,83,16,16
1413.1865148195127,83,17,17
1445.7588474287643,83,17,17
1518.1522296796697,82,17,17
1571.8254583879607,80,18,18
1604.3789266798708,79,20,20
1634.4077715336457,79,20,20
1679.5175486503306,78,21,21
1710.6148708755184,78,22,22
1738.8893556982716,78,22,22
1782.528773724513,78,22,22
1860.8256001315078,77,22,22
1909.7850954722026,75,22,22
1940.3229841220339,75,24,24
1965.7451890033658,75,24,24
2011.9090270626596,75,25,25
2034.2238682835598,74,25,25
2080.2738704424264,73,27,27
2103.599641050611,73,27,27
2150.0640590313387,71,27,27
2184.6645217441032,70,28,28
2216.695471707903,70,29,29
2244.920945038562,71,29,29
2247.8023065201887,71,29,29
2315.310366651162,71,29,29
2373.1042453583605,71,29,29
2438.232190186945,70,30,30
2457.4320902930854,70,30,30
2509.290779762767,69,31,31
2548.4577503777523,67,32,32
2580.4401093287975,67,33,33
2613.6195014894265,67,33,33
2652.142365057179,67,33,33
2707.8301673760493,67,33,33
2786.5609819298998,66,34,34
2825.9445442627375,66,34,34
2866.4610730704658,66,34,34
2917.724928489904,66,34,34
2942.8044602137693,66,34,34
3221.141999871112,65,35,35
3282.132385748626,64,35,35
3333.1314952877788,64,36,36
3362.230056423185,64,36,36
3444.0776152247813,63,36,36
3484.0243177760485,63,37,37
3511.9695690270933,63,37,37
3551.0907511407117,62,37,37
3558.552714701525,62,37,37
3645.8890968518285,60,38,38
3680.7304587461203,60,39,39
3714.3628716540375,59,40,40
3741.6130429934815,59,41,41
3761.1587106955462,59,41,41
3810.102505355828,58,41,41
3843.860565777437,58,41,41
3892.729224687702,58,42,42
3946.3345755312603,58,42,42
4038.5418756753675,56,43,43
4070.2952630323466,55,44,44
4104.175510789013,55,45,45
4139.985091540237,55,45,45
4199.189583511303,55,45,45
4613.069170965829,55,45,45
4723.763335606003,55,45,45
4764.989407636264,54,45,45
4823.8979629709775,54,46,46
4856.8742424783295,53,46,46
4892.343099089721,52,47,47
4922.985233121087,53,47,47
4955.260263282585,52,47,47
4998.464068082614,52,48,48
5049.02270259015,52,48,48
5090.996889317399,52,48,48
5117.121478345697,52,48,48
5387.2662841311,51,49,49
5437.656254340726,51,49,49
5535.838756867931,50,50,50
5599.556408057532,50,50,50
5663.143481335137,49,50,50
5692.085396261329,48,51,51
5744.769942690434,48,51,51
5773.432637563915,48,52,52
5804.104585638882,48,52,52
5814.259907906352,48,52,52
5927.451215979128,47,53,53
5951.527344738859,46,53,53
6026.998869965578,46,54,54
6056.0949351274385,45,54,54
6090.974407876947,45,55,55
6108.563204982569,45,55,55
6175.222198922774,43,56,56
6208.384997689493,44,56,56
6257.024841668459,44,56,56
6410.716588064884,43,57,57
6716.899180649698,43,57,57
6746.488335131838,42,57,57
6963.648580364091,41,58,58
7002.662098397808,41,59,59
7040.213142780951,41,59,59
7049.647635346613,41,59,59
7176.790873160483,41,59,59
7217.775030398875,41,59,59
7277.486486684141,41,59,59
7407.233400446998,40,60,60
7470.169803033184,40,60,60
7537.606961406786,39,60,60
7567.334489810465,39,61,61
7577.019169896564,39,61,61
7632.035401479638,38,61,61
7746.063207868147,38,62,62
7771.56293436554,38,62,62
7904.448606742173,38,62,62
7913.8247198348045,38,62,62
7965.08602921338,37,63,63
8006.355757511317,37,63,63
8060.529520970423,37,63,63
8157.204997381365,36,63,63
8226.96302190437,35,64,64
8268.293724512496,34,64,64
8300.819520467605,33,67,67
8349.383024414883,33,67,67
8387.903565918701,33,67,67
8416.688259830824,33,67,67
8479.525913044965,32,67,67
8512.925895314644,32,67,67
8552.365742601378,32,68,68
8587.253149527472,31,69,69
8627.682470952472,31,69,69
8635.985930395866,31,69,69
8697.803873885088,31,69,69
8872.119094430383,31,69,69
8917.711357373662,30,69,69
8943.19235359427,30,70,70
8985.656487900542,30,70,70
9049.515597590822,29,71,71
9094.113904940868,28,71,71
9098.611898530922,28,71,71
9140.914545741678,28,72,72
9184.966673601373,28,72,72
9255.6490547529,28,72,72
9321.615493629102,27,73,73
9349.42684478627,26,74,74
9423.800977129786,26,74,74
9474.211880064535,26,74,74
9501.640705647618,26,74,74
10077.096107765698,25,74,74
10138.57572598155,24,75,75
10187.395280247722,23,76,76
10215.149287249542,22,76,76
10274.747987847883,22,76,76
10299.348880276368,22,77,77
10342.742745321273,21,78,78
10378.666634821413,21,78,78
10417.59632449775,20,78,78
10448.130019084905,21,79,79
10491.985971274382,21,79,79
10984.617892651453,20,80,80
11026.071458562554,19,80,80
11028.931956083816,20,80,80
