Time,(([sp155] + [sp156]) + [sp_0]),(([sp147] + [sp148]) + [sp_1]),(([sp151] + [sp152]) + [sp_2]),(([BJ2x2_7] + [BJ2x2_15]) + [BJ2x2_23])
0,300,200,200,300
499.73956535341244,279,188,193,0
998.8297276484376,270,176,186,1
1503.4252813091243,260,174,180,0
2001.9487460736414,250,175,175,2
2503.710394188543,239,174,170,5
3006.4192656069267,235,183,159,2
3511.2766951283215,231,186,162,3
4009.1834003515687,227,184,160,3
4511.1247628939855,227,192,163,3
5012.008563774414,222,194,157,1
5516.55765216242,217,200,161,3
6016.608555546691,218,199,161,2
6517.104423291767,212,198,158,0
7014.829203764459,215,200,163,7
7520.287229803852,208,194,157,2
8021.871266390314,210,203,159,3
8525.007767889309,211,200,160,2
9025.660030809635,213,207,158,4
9527.509102971253,210,211,154,3
10027.355836026793,201,213,161,5
10528.2111474573,206,216,158,4
11028.651346433548,201,221,162,2
11528.87782643292,203,218,161,2
12030.532685995091,198,208,158,3
12532.31129321363,199,215,160,5
13032.747701840584,195,212,165,2
13532.901340629129,192,206,166,2
14033.840924087282,202,210,170,1
14534.893094532155,204,210,170,3
15035.29506373796,199,208,171,5
15535.770160545222,194,210,172,2
16036.75994820694,198,211,172,3
16537.98501338697,197,207,173,1
17035.71072305516,198,203,173,0
17536.8875226237,193,204,180,3
18039.737719676395,191,205,180,2
18540.45118456057,185,202,181,3
19040.499087452765,186,199,180,2
19539.344479193904,193,194,181,3
20039.287553376376,194,202,179,3
20542.349238554194,193,200,176,1
21042.066433588574,191,194,180,2
21543.530467651504,190,190,182,4
22043.19621174383,193,191,186,1
22546.352472375977,190,190,188,1
23047.670914242317,188,188,182,1
23547.568668071417,192,192,195,2
24048.32955951566,192,197,188,1
24548.52560637856,185,196,185,5
25049.81324800729,189,201,187,4
25550.437418808368,191,206,188,2
26055.41112866939,195,209,185,3
26555.34129804999,192,210,186,5
27058.667365034184,183,207,190,2
27559.252205318626,186,203,195,5
28058.719876618725,186,208,192,2
28559.757286055454,185,205,185,1
29058.283041558396,179,214,181,1
29559.434928313312,174,215,183,1
30063.59412873283,172,221,190,2
30563.859793308653,165,228,192,1
