Time,sp_0,sp20,sp13
0,1000,0,0
5.474107912166613,988,0,0
10.734209835671903,981,0,0
16.014207065309513,968,0,0
21.10121375411912,961,0,0
26.236087826632758,948,0,0
31.11800524208078,938,2,0
36.246743434060384,936,2,0
41.49866947069606,923,2,0
46.54751182848039,926,6,0
51.80882696654392,915,6,0
56.257388456470906,912,7,0
62.23320132795907,905,8,0
67.37397685380775,892,8,0
72.39320475258961,889,11,0
77.41475293533665,885,12,0
82.40951144877455,883,13,0
87.33279808706041,876,13,0
92.9786769784705,863,13,0
98.14950255468179,861,15,0
103.21149514818919,858,17,0
108.47509490653731,851,17,0
113.65262316470823,849,19,0
118.7534494007675,842,22,0
123.51766985212187,834,24,0
128.84265795615167,830,26,0
134.15882562319436,827,27,0
139.1504934692029,817,27,0
144.28656230604355,814,28,0
149.2928111601362,801,31,0
154.83538306384926,800,34,0
160.11223043099395,792,36,0
165.0561141836583,790,41,0
170.25525686103586,784,43,0
175.44758288010604,779,42,0
180.0050632074763,777,46,0
185.9644326549666,771,44,0
191.07230952576327,761,50,1
197.23964708831167,753,53,1
202.2496443028918,747,54,1
207.73018481782086,741,58,1
212.8940352839098,733,62,1
218.09316186565675,723,64,2
223.99166772783465,721,63,3
228.69056421239722,715,65,3
233.80933192802053,717,69,3
239.0081272798728,708,73,3
243.943847994482,708,72,3
249.41445572686538,702,74,3
254.1927238812198,703,75,3
259.0809713843119,695,75,3
264.43921688183065,691,79,3
269.7941385532147,687,83,3
274.8266566447676,682,86,3
279.7620658751514,681,87,3
285.0534232036139,675,89,3
290.21383564502463,670,98,3
295.193490796653,666,103,3
300.45197292939014,659,107,4
305.7681352204486,654,108,5
310.94152375319567,647,115,5
315.8701820040994,644,115,5
321.3871272320575,640,113,5
326.6727851597026,630,115,5
332.2379916972588,627,117,5
336.7282913924009,623,115,5
341.98277476555967,624,117,7
347.42548420219765,618,120,7
352.9978522918981,609,123,7
358.3538998789567,607,127,8
363.2216306878466,601,133,8
368.3889364862413,601,127,8
373.3124526048319,595,132,9
378.72272243095284,588,133,9
383.83518160714874,581,135,9
389.00563883558476,581,138,9
394.2193892481775,581,138,10
398.8517984663273,573,136,10
405.15133246154653,572,137,12
410.28659207822653,562,137,13
415.6232712624832,563,140,15
420.74621667142185,553,140,16
426.2749726742548,554,141,19
431.40154297483735,549,145,19
436.3929521292271,546,145,19
442.19481971343134,540,146,19
446.84721594341465,537,150,21
452.397712968814,530,152,22
457.63982327201893,526,153,22
462.39661993671933,522,158,23
468.0396959678477,518,157,23
473.5607546318215,516,159,24
478.65124869560196,507,161,25
483.8186140420021,501,162,26
489.0239780321327,501,165,27
494.3990029494938,498,167,29
499.53262389817894,495,169,30
504.34940451528047,489,175,30
509.9052789295067,486,177,31
515.1243876931488,483,177,31
520.3662478942316,482,175,34
525.9872912992447,478,177,35
530.9285164238239,476,180,35
536.0371313251648,475,185,35
541.1856707240987,470,186,37
546.6166410155842,463,188,37
551.9509426567939,463,193,39
557.0806961604267,462,193,41
562.3206934785442,460,190,42
567.5469854423282,452,195,44
572.51792097746,448,197,44
