Time,sp1,sp2,sp3,SpeciesR,SpeciesL_1,SpeciesR_1,sp4,sp5
0,0,0,0,100,1000,1000,0,0
20.04453274251418,0,0,0,95,875,874,0,0
40.05998513682718,0,0,0,88,883,880,0,0
60.06868571552391,0,0,0,87,874,885,0,0
80.04267930793856,0,0,0,92,884,868,0,0
100.07827768173262,0,0,0,87,894,890,0,0
120.11020714424608,0,0,0,93,872,894,0,0
140.09211634932134,0,0,0,93,867,883,0,0
160.10736038019695,0,0,0,94,873,876,0,0
180.1031617449221,0,0,0,89,892,896,0,0
200.1341485876547,0,0,0,91,892,890,0,0
220.17061852300824,0,0,0,88,892,877,0,0
240.1718423350014,0,0,0,84,889,890,0,0
260.1860169947509,0,0,0,87,888,885,0,0
280.19767131240786,0,0,0,90,871,869,0,0
300.3235674057388,0,0,0,89,885,892,0,0
320.3320163627166,0,0,0,90,887,883,0,0
340.3260180907001,0,0,0,86,883,880,0,0
360.33254652000664,0,0,0,86,880,888,0,0
380.3855310694149,0,0,0,86,893,875,0,0
400.4136043101664,0,0,0,88,885,883,0,0
420.3949578060367,0,0,0,88,878,892,0,0
440.407609657626,0,0,0,90,885,882,0,0
460.42525170461147,0,0,0,89,884,875,0,0
480.435728555056,0,0,0,83,873,902,0,0
500.47621106739535,0,0,0,88,885,891,0,0
520.4849593160432,1,0,0,89,893,890,0,0
540.4822318053828,1,0,0,91,898,868,0,0
560.4450527003168,1,0,0,89,875,887,0,0
580.5012101564203,1,0,0,89,895,877,0,0
600.5101055390026,1,0,0,87,880,866,0,0
620.5300054040963,1,0,0,91,863,864,0,0
640.5319929939269,2,0,0,84,875,890,0,0
660.530735736979,1,0,0,87,887,890,0,0
680.5510330163152,1,0,0,83,868,876,1,0
700.547880557104,2,0,0,86,874,882,1,0
720.5418346975795,3,0,0,84,878,879,1,0
740.552036498444,1,0,0,86,878,871,1,0
760.5806320664844,3,0,0,91,883,882,1,0
780.6066873568495,3,0,0,88,872,873,1,0
800.6191751313847,2,0,0,84,887,880,1,0
820.6325695399522,3,0,0,82,870,892,2,0
840.6258667699308,2,0,0,86,870,907,2,0
860.6380821841849,3,0,0,85,879,858,2,0
880.6611095398525,2,0,0,90,884,869,1,0
900.6952931853706,4,0,0,83,881,867,2,0
920.7114777994616,4,0,0,82,894,887,3,0
940.7777284425215,4,0,0,88,861,885,3,0
960.7602141857536,2,0,0,83,885,883,1,0
980.818963493426,3,0,0,85,885,889,4,0
1000.822273318504,4,0,0,85,873,890,5,0
1020.8458739297827,4,0,0,89,874,881,7,0
1040.8449465628996,4,0,0,88,888,878,5,0
1060.8307954217007,3,0,0,84,883,883,7,0
1080.8620161766294,5,0,0,90,861,889,8,0
1100.9271017426845,5,0,0,86,865,889,7,0
1120.9453752459583,5,0,0,84,865,888,7,0
1140.9606907324949,5,0,0,84,876,877,7,0
1160.9687116708485,4,0,0,82,876,882,8,0
1180.9685598515766,5,0,0,88,861,878,8,0
1200.8721312029036,5,0,0,83,866,883,9,0
1220.9895740295663,5,0,0,76,863,880,10,0
1241.0026517318902,6,0,0,84,890,877,11,0
1261.0171586596744,4,0,0,83,884,862,11,0
1281.0178168287039,4,0,0,83,887,875,13,0
1301.0473533942907,4,0,0,79,871,886,12,0
1321.0272712337414,3,0,0,80,880,884,12,0
1341.0368833593982,5,0,0,85,856,877,10,0
1361.0906183357067,5,0,0,85,859,898,14,0
1381.0881317887163,5,0,0,82,844,874,13,0
1401.1121608548547,4,0,0,79,872,883,14,0
1421.1084788051514,3,0,0,79,880,894,17,0
1441.145024915441,5,0,0,79,861,891,19,0
1461.1633008089332,3,0,0,86,861,874,18,0
1481.185816141306,7,0,0,79,868,887,18,0
1501.2038116407925,5,0,0,86,856,887,18,0
1521.2016599659028,5,0,0,82,858,893,16,0
1541.2114050568289,6,0,0,82,854,892,21,0
1561.2377432839055,3,0,0,81,858,867,20,0
1581.255819960759,5,0,0,84,865,894,24,0
1601.2648155403301,7,0,0,90,861,880,22,0
1621.2519595696742,6,0,0,85,865,879,23,0
1641.1780028191038,6,0,0,85,861,879,26,0
1661.3010963011018,7,0,0,80,862,880,27,0
1681.258153157634,6,0,0,85,852,887,26,0
1701.3099416750215,5,0,0,87,862,871,21,0
1721.3467254803477,6,0,0,85,852,883,27,0
1741.3724193855164,7,0,0,84,840,873,27,0
1761.3857990856693,7,0,0,84,878,893,28,0
1781.4012662243983,6,0,0,80,845,895,29,0
1801.4333805644872,6,0,0,78,876,878,31,0
1821.4824871775465,7,0,0,78,842,885,32,0
1841.4816394349587,6,0,0,80,851,872,28,0
1861.4622435587346,8,0,0,80,838,879,35,0
1881.5166426894823,8,0,0,82,832,898,32,0
1901.5159919453404,6,0,0,80,837,874,33,0
1921.5140343071782,6,1,0,83,858,865,33,0
1941.5607344975967,7,1,0,80,850,881,31,0
1961.57778263684,9,0,0,84,829,891,29,0
1981.57179527317,6,0,0,78,834,869,33,0
2001.5861302534163,7,1,0,79,840,890,32,0
2021.6000176945633,8,0,0,82,854,888,33,0
2041.5598871239408,8,0,0,85,853,883,31,0
2061.6121620706776,9,2,0,81,854,877,31,0
2081.6471996262694,7,3,0,80,856,894,33,0
2101.6743488469037,5,3,0,77,837,882,31,0
2121.692541178959,6,4,0,79,835,885,27,0
2141.6131525361448,8,4,0,80,841,885,34,0
2161.7177928714673,8,3,0,85,859,859,35,0
2181.7383824045496,10,3,0,79,841,882,35,1
2201.7064469161455,9,2,0,75,835,887,32,1
2221.7631769364025,7,4,0,82,842,886,33,1
2241.7617184820247,6,4,0,79,831,874,35,2
2261.757374865846,9,4,0,72,853,873,40,3
2281.807256266224,10,3,0,75,834,866,38,2
2301.8349903574267,8,4,0,81,831,871,40,3
2321.848164371994,8,3,0,82,836,872,41,3
2341.8569635959007,8,4,0,81,843,883,41,4
2361.9201047623433,8,4,0,82,847,869,45,4
2381.9506187986117,9,4,0,70,830,869,45,4
2401.958335076075,8,4,0,76,831,895,48,4
2421.9585196689222,10,4,0,78,835,878,47,5
2442.0242307841745,9,3,0,79,825,874,47,4
2462.047742193591,12,2,0,74,831,867,51,6
2482.0923793112943,10,3,0,76,830,868,52,5
2502.1023865691245,8,2,0,79,810,855,55,9
2522.18392231366,10,3,0,82,809,878,58,8
2542.194841546536,8,3,0,75,834,881,60,10
2562.1881975607293,9,1,0,75,824,880,61,9
2582.215035240344,9,4,0,76,820,893,57,8
2602.2230342215175,5,3,0,78,829,859,57,9
2622.203274200649,10,1,0,81,820,879,59,8
2642.2221871340034,11,4,0,76,801,875,59,7
2662.2578971054118,11,4,0,74,811,885,66,10
2682.281626033398,10,4,0,79,801,891,63,10
2702.329097915562,10,3,0,74,819,867,60,8
2722.2263057997693,11,5,0,77,815,857,64,10
2742.364032385826,13,4,0,75,819,858,61,9
2762.3755614211263,14,6,0,73,803,869,65,11
2782.3955501198457,12,5,0,79,815,866,64,15
2802.4294869864884,12,4,0,75,805,866,68,17
2822.4697605453493,13,5,0,80,814,840,69,17
2842.444942872885,10,5,0,75,813,870,73,17
2862.475493211374,10,4,0,75,827,846,71,15
2882.4894711888633,11,6,0,77,808,862,66,14
2902.4801760993723,11,6,0,71,808,865,70,13
2922.504783692978,13,5,0,75,798,880,69,17
2942.5203667278943,11,6,0,76,808,869,71,16
2962.548188027389,11,4,0,71,789,882,81,14
2982.565348051488,10,4,0,76,779,872,77,14
3002.562195330346,11,6,0,81,787,863,81,17
3022.593617348464,12,5,0,75,813,878,85,16
3042.613751281399,12,4,0,77,799,884,81,15
3062.6115703984233,12,5,0,70,799,885,85,19
3082.6215040038974,14,4,0,75,799,865,90,15
3102.6287329894244,11,5,0,75,793,869,91,19
3122.615553142061,14,5,0,75,805,855,91,19
3142.659061655893,12,6,0,76,796,858,93,19
3162.63179191352,13,7,0,73,766,852,89,19
3182.6938393204127,16,6,0,77,799,871,94,20
3202.683759841545,13,7,0,73,788,858,99,24
3222.6732382385935,15,6,0,77,785,866,94,23
3242.747837930192,14,8,0,74,767,873,95,26
3262.8170427830287,15,7,0,70,785,856,96,25
3282.848832576786,14,7,0,73,793,858,94,27
3302.817230498875,15,10,0,73,776,886,98,26
3322.8715235649393,11,9,0,72,774,842,100,25
3342.881931271549,15,8,0,70,769,860,100,28
3362.868550918179,11,10,0,72,777,858,98,26
3382.9139637349426,10,10,0,73,790,860,104,28
3402.895097211815,14,8,0,69,773,856,105,29
3422.93744643863,14,11,0,74,761,854,107,28
3442.954510614246,10,12,0,72,753,849,97,27
3462.944804567175,13,9,0,71,756,859,115,30
3483.056821006405,16,10,0,76,752,847,112,31
3503.0606545929363,14,10,0,65,760,854,113,32
3523.066998091172,15,9,1,63,755,848,118,31
3543.090124545184,12,10,1,75,748,840,118,32
3563.115422968891,14,8,1,70,743,848,116,32
3583.1646948175726,16,12,1,71,747,844,119,37
3603.1700231556397,14,10,1,74,745,831,118,40
3623.193999188852,16,11,1,73,763,817,117,37
