Time,sp_0,sp_1,sp3,sp4,sp5,sp6,sp7,sp8
0,1000,1000,0,0,0,0,0,0
0.0010087918653376006,998,979,0,0,2,2,21,21
0.0020900841318150787,993,964,0,0,7,7,36,36
0.0031093706749564035,988,940,1,1,12,12,60,59
0.004141878496193568,978,918,2,2,22,22,82,80
0.005146997197221159,970,896,2,2,30,30,104,102
0.006200514744848232,962,881,6,6,38,38,119,113
0.007252666802641638,957,860,6,6,43,43,140,134
0.008288166227548362,954,836,9,9,46,46,164,155
0.009215979652922379,951,820,10,10,49,49,180,170
0.010256063963783212,946,799,13,13,54,54,201,188
0.011340093710482986,943,780,15,15,57,57,220,205
0.01233535304795695,938,767,17,17,62,62,233,216
0.01342630886031881,935,742,20,20,65,65,258,238
0.014399756062805876,927,729,26,26,73,73,271,245
0.015484035957875644,925,708,29,29,75,75,292,263
0.016486581821597852,919,687,32,32,81,81,313,281
0.01751145747574263,909,679,39,39,91,91,321,282
0.018557998519672676,903,663,45,45,97,97,337,292
0.019558320179149012,894,651,49,49,106,106,349,300
0.020563003060918447,891,636,52,52,109,109,364,312
0.021576368936876287,889,624,60,60,111,111,376,316
0.02257937397871271,888,608,66,66,112,112,392,326
0.023637651864788542,883,597,76,76,117,117,403,327
0.02466661815612862,875,586,86,86,125,125,414,328
0.025776076034528847,869,575,89,89,131,131,425,336
0.02677330300429909,863,563,101,101,137,137,437,336
0.027846101851881962,853,555,107,107,147,147,445,338
0.028810748217379778,846,545,114,114,154,154,455,341
0.029981306908924085,841,533,123,123,159,159,467,344
0.031022276138433738,837,520,129,129,163,163,480,351
0.031940943028497606,833,506,133,133,167,167,494,361
0.03315429059802414,828,501,146,146,172,172,499,353
0.03421657739561163,825,483,155,155,175,175,517,362
0.035128546427736176,812,470,160,160,188,188,530,370
0.03622770876862632,807,458,164,164,193,193,542,378
0.03735897648928982,805,444,173,173,195,195,556,383
0.03844607668060385,799,439,182,182,201,201,561,379
0.03940926321784091,798,433,192,192,202,202,567,375
0.0404695103967372,795,426,203,203,205,205,574,371
0.04159663895923941,793,418,211,211,207,207,582,371
0.04263798499082811,787,406,216,216,213,213,594,378
0.04397527509457773,786,394,224,224,214,214,606,382
0.04500384448158464,780,388,230,230,220,220,612,382
0.046053234352898716,777,385,240,240,223,223,615,375
0.04735389853841083,775,377,247,247,225,225,623,376
0.04847187696212843,772,370,261,261,228,228,630,369
0.04949351296792368,770,361,270,270,230,230,639,369
0.05051540942167938,767,358,280,280,233,233,642,362
0.051576050619434356,762,348,290,290,238,238,652,362
0.052560422436518206,757,337,298,298,243,243,663,365
0.05358720419307262,754,330,303,303,246,246,670,367
0.05452536654280609,751,325,309,309,249,249,675,366
0.0555814556431902,748,318,320,320,252,252,682,362
0.05666753891311089,743,309,329,329,257,257,691,362
0.05764114491354838,741,302,339,339,259,259,698,359
0.05870847087117315,734,295,352,352,266,266,705,353
0.059772109582812954,731,294,359,359,269,269,706,347
0.060976821078167126,729,287,371,371,271,271,713,342
0.06204040846366669,729,281,379,379,271,271,719,340
0.0630759983049699,725,275,382,382,275,275,725,343
0.06412004579631791,716,271,389,389,284,284,729,340
0.06509382400451065,710,266,396,396,290,290,734,338
0.06641802391462219,703,260,409,409,297,297,740,331
0.06744153475841444,699,255,409,409,301,301,745,336
0.06850622732583078,692,249,419,419,308,308,751,332
0.06966028841183221,690,242,424,424,310,310,758,334
0.07082039261288703,686,239,433,433,314,314,761,328
0.07177187005222703,682,238,438,438,318,318,762,324
0.07284683344887688,680,234,446,446,320,320,766,320
0.07412926255628494,674,231,454,454,326,326,769,315
0.07523999177220561,671,226,461,461,329,329,774,313
0.07648346918606284,667,219,466,466,333,333,781,315
0.0774380269457605,662,214,471,471,338,338,786,315
0.07853231777499402,656,211,475,475,344,344,789,314
0.07947348808441909,650,208,480,480,350,350,792,312
0.08064984628672107,648,204,488,488,352,352,796,308
0.08182465868033639,644,203,494,494,356,356,797,303
0.08295793522254945,636,200,503,503,364,364,800,297
0.08398781735386879,630,194,509,509,370,370,806,297
0.08496420691214392,627,190,518,518,373,373,810,292
0.08610585853439814,622,188,526,526,378,378,812,286
0.08714373485425503,620,182,532,532,380,380,818,286
0.08842570335002498,613,180,536,536,387,387,820,284
0.08951243822609485,612,178,544,544,388,388,822,278
0.09057924869721976,605,171,549,549,395,395,829,280
0.09163422284547423,601,166,560,560,399,399,834,274
0.09239871417938784,598,164,566,566,402,402,836,270
0.09400763012449616,592,158,573,573,408,408,842,269
0.09528629503013432,587,153,579,579,413,413,847,268
0.09640485097993019,585,149,587,587,415,415,851,264
0.09729817422086152,582,145,591,591,418,418,855,264
0.09852769077759117,577,141,595,595,423,423,859,264
0.09957974199549437,572,140,599,599,428,428,860,261
0.10061062293147294,567,138,601,601,433,433,862,261
0.10159083475200335,562,131,606,606,438,438,869,263
0.10267212006419929,561,130,616,616,439,439,870,254
0.10363911462349423,560,125,623,623,440,440,875,252
0.10445744745034244,558,123,626,626,442,442,877,251
0.10572790282350251,556,119,632,632,444,444,881,249
0.10702036699678621,553,117,636,636,447,447,883,247
0.1081877484101454,548,114,639,639,452,452,886,247
0.10931001567332789,546,112,645,645,454,454,888,243
0.11037124301398268,542,110,647,647,458,458,890,243
0.11149942876310066,539,108,649,649,461,461,892,243
0.1122174230230642,537,107,652,652,463,463,893,241
0.11365980413017589,531,106,656,656,469,469,894,238
0.11483153821345649,529,105,662,662,471,471,895,233
0.11571745616623633,526,102,666,666,474,474,898,232
0.11672332463740048,523,96,668,668,477,477,904,236
0.11809293328402622,522,93,672,672,478,478,907,235
0.11930470940931964,520,90,674,674,480,480,910,236
0.12049755333712267,519,89,689,689,481,481,911,222
0.1214128644944103,516,87,690,690,484,484,913,223
0.1225580234713011,516,84,697,697,484,484,916,219
0.12359300702263025,512,84,707,707,488,488,916,209
0.12471033065428674,506,83,709,709,494,494,917,208
0.1257234966509079,502,82,716,716,498,498,918,202
0.1264420472303548,499,81,721,721,501,501,919,198
0.12794819203205504,498,79,725,725,502,502,921,196
0.12908854239568163,493,76,725,725,507,507,924,199
0.1299092946054194,489,74,732,732,511,511,926,194
0.1311888329648271,486,72,738,738,514,514,928,190
0.13267298343320322,483,72,741,741,517,517,928,187
0.13360028316080033,480,72,744,744,520,520,928,184
0.13489344692954877,474,72,748,748,526,526,928,180
0.1356832066836963,470,70,753,753,530,530,930,177
0.1371360960464146,469,69,756,756,531,531,931,175
0.13836535640025202,467,64,757,757,533,533,936,179
0.13934781197800827,461,62,762,762,539,539,938,176
0.14062328395081822,460,58,765,765,540,540,942,177
0.14165124157090717,457,56,769,769,543,543,944,175
0.14279855457432258,454,54,774,774,546,546,946,172
0.14410434422943935,452,52,776,776,548,548,948,172
