Time,sp_0,sp_1,sp_2,sp_3,sp_4,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11
0,1,3,1000,1000,3,0,0,0,0,0,0,0,0,0,0,0
1604.9231851614904,1,3,1000,1000,3,0,0,0,0,0,0,0,0,0,0,0
2672.8999729759466,1,3,1000,1000,3,0,0,0,0,0,0,0,0,0,0,0
3426.9209800901144,1,3,1000,1000,3,0,0,0,0,0,0,0,0,0,0,0
3969.1864878683627,0,2,1000,1000,3,1,0,0,0,0,0,0,0,0,0,0
3991.3815383814294,1,3,1000,1000,3,0,0,0,0,0,0,0,0,0,0,0
4379.729760445104,1,3,1000,1000,3,0,0,0,0,0,0,0,0,0,0,0
5100.054194605539,0,2,1000,1000,3,0,1,1,0,0,0,0,0,0,0,0
5114.624774493846,0,2,999,1000,3,0,1,0,1,1,0,0,0,0,0,0
5140.113621379858,0,2,999,999,2,0,0,0,0,1,1,1,0,1,1,0
6793.466686490727,0,2,999,999,2,0,0,0,0,1,1,1,0,0,1,1
7618.631091993273,0,2,999,999,2,0,0,0,0,1,1,1,0,0,1,1
10103.029128748623,0,1,999,999,2,0,0,0,0,1,1,0,0,1,1,1
