Time,sum([sp_0]),sum([sp_1]),sum([sp29]),sum([sp28]),BJ2x2_7
0,100,100,0,0,100
99.29475069810223,100,100,0,0,26
196.29166469153736,99,100,0,0,5
308.0988244945761,99,100,0,0,1
418.65560944203975,97,100,0,0,0
591.325471973683,95,100,0,0,0
728.2321954726256,94,100,0,0,0
876.7376215436126,94,100,0,0,0
984.3966593881526,93,100,0,0,0
1098.5130162420662,90,100,0,0,0
1224.9258781332135,89,99,1,1,1
1358.0692232586584,87,99,1,1,0
1467.05433120894,85,99,1,1,0
1596.1430969909934,82,99,1,1,0
1725.0165934589354,80,99,1,1,0
1857.3329424546685,79,98,2,2,0
2026.769582984524,77,98,2,2,0
2113.198468638412,76,98,2,2,0
2270.211387605997,76,96,4,4,2
2331.5465033335477,76,96,4,4,1
2485.319460529076,76,95,5,5,1
2585.39776377085,74,94,5,5,0
2721.7068386993205,73,93,6,6,0
2841.2645734557923,70,93,7,7,1
2945.6810609836643,68,93,7,7,0
3054.0656314415096,66,92,7,7,0
3163.110404976591,65,92,8,8,1
3264.42956990685,64,90,10,10,0
3366.214430299299,63,90,10,10,0
3479.9631719062504,61,90,10,10,0
3559.42649241884,62,90,10,10,0
3632.505795525329,61,90,10,10,0
3900.1582900592207,61,89,11,11,0
3979.797071811706,61,89,11,11,0
4116.369614307621,61,86,12,12,0
4184.063291241237,61,86,14,14,0
4248.044128513845,61,86,14,14,0
4438.2082624514205,61,86,14,14,0
4503.973207423787,61,86,14,14,0
4633.659342528782,61,86,14,14,0
4782.530482141006,58,85,15,15,0
4875.268436320883,58,85,15,15,0
4981.487023905688,58,85,15,15,0
5023.840554802326,58,85,15,15,0
5199.625737657233,56,84,16,16,1
5277.25721982952,56,84,16,16,1
5419.907899604006,56,84,16,16,0
5567.079882971983,56,83,16,16,0
5667.400512162619,55,83,16,16,0
5787.085617092038,54,83,17,17,1
5890.642844636094,53,81,18,18,1
5984.090751997442,53,81,18,18,0
6121.071209371071,53,80,20,20,1
6172.705167044726,54,79,20,20,1
6325.5969425382555,53,77,22,22,1
6428.239577164317,52,77,23,23,2
6531.774377099208,51,77,23,23,1
6643.02770718732,51,76,23,23,0
6754.006296920354,51,76,24,24,0
6874.287216750002,52,74,26,26,1
6981.653298914287,49,73,26,26,0
7031.641473188761,49,73,27,27,1
7153.047592121987,47,73,27,27,1
7253.837888746673,47,73,27,27,0
7444.070960874609,47,71,29,29,1
7552.7806230647175,48,70,29,29,0
7652.106375472652,49,70,30,30,0
7767.176205968774,47,70,30,30,0
7821.358162362826,46,70,30,30,0
7910.1529997460175,45,70,30,30,0
8165.9190116031095,43,70,30,30,0
8234.091858167712,43,70,30,30,0
8419.530430585146,42,69,31,31,1
8494.731898533015,41,69,31,31,0
8713.59242998407,39,68,32,32,1
8766.83026993825,39,68,32,32,0
8883.703098006265,37,68,32,32,0
9099.938561623614,38,67,33,33,1
9189.241045765712,38,67,33,33,1
9294.988428022534,36,67,33,33,1
9414.801264867336,35,67,33,33,0
9526.001214611382,37,67,33,33,0
9639.838554447633,35,66,34,34,1
9782.553986892624,36,66,34,34,1
9868.516597244101,37,66,34,34,0
10005.623898281072,36,65,35,35,0
10130.599094708552,36,65,35,35,0
10233.732668715807,36,65,35,35,0
10389.979132304295,36,65,35,35,0
10718.289418059374,35,65,35,35,0
10924.997070437787,36,64,36,36,1
11020.108343549817,36,63,37,37,0
11145.09179634069,36,63,37,37,0
11237.544258014352,35,62,38,38,0
11350.598292344923,36,62,38,38,0
11461.621092153837,37,61,39,39,0
11564.575931899388,38,60,40,40,1
11654.175176265691,37,60,40,40,1
11763.320769801125,37,59,40,40,1
11879.091150116838,38,59,41,41,2
11969.421767073538,37,58,42,42,0
12080.919193020047,35,58,42,42,0
12188.750906905041,34,57,43,43,0
12303.903053918071,32,57,43,43,0
12325.70266778244,32,57,43,43,0
12480.423309861528,32,57,43,43,0
12638.9320559906,31,55,44,44,0
12700.028441122617,31,55,45,45,1
12847.829443654375,31,55,45,45,0
12935.656305957918,31,55,45,45,0
13019.318507948485,30,55,45,45,0
13150.5734262822,29,55,45,45,0
13230.039844910929,29,55,45,45,0
13432.905033735442,30,55,45,45,0
13638.794638215488,29,54,46,46,1
13735.692369863164,29,54,46,46,1
13859.3870913202,28,53,47,47,1
13961.58666955536,29,53,47,47,1
14105.277699187165,30,52,47,47,0
14175.200580319648,30,52,48,48,0
14323.993875150787,30,52,48,48,0
14430.734757182565,29,52,48,48,0
14758.32230615198,30,51,48,48,0
14849.41939750312,29,52,48,48,0
15045.928848825253,30,52,48,48,0
15079.122807345757,30,52,48,48,0
15530.920881089627,29,52,48,48,0
15808.36158898566,28,52,48,48,0
16044.355852418723,28,50,50,50,2
16098.490623794854,29,50,50,50,0
16235.101970735772,28,50,50,50,0
16416.10605050929,29,50,50,50,0
16541.062973839827,29,49,50,50,0
16636.275550738417,29,49,51,51,1
16783.49129812647,28,49,51,51,0
16828.1678563474,27,49,51,51,0
17085.246937731805,28,48,52,52,1
17171.250722435536,27,48,52,52,1
17278.564038800847,26,48,52,52,0
17392.92701160972,27,47,53,53,1
17548.705346875035,28,47,53,53,0
17629.771527365196,29,47,53,53,0
17770.19650244237,27,46,54,54,1
17848.397270524612,27,46,54,54,0
18033.13449673875,26,46,54,54,0
18168.799199986555,26,46,54,54,0
18519.339391559508,24,46,54,54,0
18735.01081012014,24,46,54,54,0
18749.532078259883,24,46,54,54,0
18894.309416672855,24,46,54,54,0
19003.000727633298,23,46,54,54,0
19337.099896732412,21,46,54,54,0
19615.114369362527,21,46,54,54,0
19789.675324577885,21,46,54,54,0
20030.24670639801,19,45,54,54,0
20126.6942643977,18,45,55,55,0
20272.58670820155,17,45,55,55,0
20376.19725548417,17,43,56,56,0
20473.2070925234,16,43,57,57,1
20582.559806863883,17,42,57,57,0
20681.74188934521,17,43,57,57,0
20786.29958930399,16,42,57,57,0
20881.17708737077,17,42,58,58,0
21033.4690469302,17,41,59,59,1
21156.21315241471,18,41,59,59,1
21210.727331128004,17,41,59,59,0
22014.40680119711,18,40,59,59,0
22128.41451176824,18,40,60,60,1
22270.63861542129,18,40,60,60,0
22392.503246664903,17,40,60,60,0
22541.241298128938,16,39,60,60,0
22640.26805298066,16,39,61,61,1
22758.247332175004,16,39,61,61,1
22881.70258113621,15,38,61,61,0
22995.823622770735,15,38,62,62,1
23102.097722690363,15,38,62,62,0
23365.199789081493,15,38,62,62,0
23617.21644456384,14,38,62,62,0
23648.09490745677,14,38,62,62,0
23909.28391411661,14,38,62,62,0
24007.909564899,15,36,64,64,0
24108.16154561809,15,36,64,64,0
24226.112189275198,15,36,64,64,0
24426.403248550338,16,35,64,64,0
24542.166203620043,17,35,65,65,1
24690.428096048076,17,35,65,65,1
24790.547236260718,16,35,65,65,0
24895.29559894735,15,34,66,66,0
24994.134441125523,15,34,66,66,0
25139.073886277445,14,34,66,66,0
25307.515473324198,14,34,66,66,0
25365.877968163637,14,34,66,66,0
25949.826501783984,13,34,66,66,0
26059.89641335255,12,34,66,66,0
26248.262297939986,12,34,66,66,0
26343.4385461339,11,33,67,67,1
26461.408277558763,12,33,67,67,0
26658.311901761645,12,32,68,68,1
26766.238036519262,12,32,68,68,0
26910.151078789422,12,32,68,68,0
27183.15281073672,12,32,68,68,0
27348.054779148344,12,32,68,68,0
27459.553280838416,12,32,68,68,0
27601.33306994095,12,32,68,68,0
27819.491864780106,12,32,68,68,0
27972.514942537593,12,32,68,68,0
28407.08708948819,12,32,68,68,0
28629.708040141853,10,32,68,68,0
28935.131752016332,10,32,68,68,0
29044.142856496277,9,32,68,68,0
29536.97884903495,9,32,68,68,0
29698.415364561082,9,31,68,68,0
29851.037866946597,9,31,69,69,0
29891.28678663241,9,31,69,69,0
30347.264559169816,9,31,69,69,0
30671.677598798444,9,30,70,70,0
30731.69623126086,9,30,70,70,0
30944.729685711794,7,30,70,70,0
31148.472795982514,8,29,71,71,0
31245.39777734472,9,29,71,71,0
31373.60921160833,9,29,71,71,0
31484.704029204186,10,29,71,71,0
31713.388626697473,11,29,71,71,0
31964.338319829363,11,28,72,72,0
32089.30775602417,11,28,72,72,0
32300.741504460937,11,28,72,72,0
32508.734146705418,11,28,72,72,0
32730.27301847145,11,27,73,73,0
32793.49654481921,11,27,73,73,0
32897.374403705835,11,27,73,73,0
33244.339022828535,9,27,73,73,0
33257.889925960175,9,27,73,73,0
33709.809015943574,10,27,73,73,0
34267.11617565055,9,26,74,74,0
34352.07909063388,9,26,74,74,0
34407.87973003407,9,26,74,74,0
34635.93320407907,8,26,74,74,0
34709.86491774568,8,26,74,74,0
34968.10522845568,7,26,74,74,0
35203.01825406809,8,26,74,74,0
35371.937321855046,7,26,74,74,0
35661.6730031521,7,26,74,74,0
36108.13871485243,7,26,74,74,0
36310.60484528279,7,25,75,75,1
36414.311244726276,7,25,75,75,0
37401.07311407106,7,25,75,75,0
37549.407420988646,6,25,75,75,0
38072.71870491654,5,25,75,75,0
38204.19616951072,5,25,75,75,0
38406.5701804082,4,25,75,75,0
38732.10912748955,5,25,75,75,0
39059.80460222522,6,25,75,75,0
39579.27714886905,7,25,75,75,0
39707.37004129668,7,25,75,75,0
40101.29110288564,7,24,76,76,0
40201.643140138665,7,24,76,76,0
40701.50469093099,6,24,76,76,0
41365.82694303376,6,24,76,76,0
42326.02128732427,7,24,76,76,0
42526.874568038926,5,24,76,76,0
42809.46444284984,4,24,76,76,0
43008.5673216282,4,23,77,77,1
43108.00875218453,4,22,78,78,0
43185.53893970529,4,22,78,78,0
43290.55607772801,5,22,78,78,0
43992.211775122894,5,21,79,79,0
44744.048545850696,4,21,79,79,0
45346.795615741685,4,21,79,79,0
45738.45986174419,5,21,79,79,0
45934.790632373115,5,21,79,79,0
45996.14860931044,5,21,79,79,0
46150.1654927809,5,21,79,79,0
46607.06933637501,5,21,79,79,0
47313.787356125875,4,20,80,80,0
47396.48420538805,4,20,80,80,0
47665.28939730092,4,20,80,80,0
48662.7220073684,4,20,80,80,0
48874.40626311398,4,20,80,80,0
49490.9825346075,5,20,80,80,0
49945.89763581629,5,20,80,80,0
50130.46982762052,5,19,81,81,1
50274.70778537695,5,19,81,81,0
50351.76900870705,4,19,81,81,0
50490.82805268985,5,19,81,81,0
50668.39712065026,5,19,81,81,0
50889.07309609865,5,19,81,81,0
