Time,sp_0,sp1,sp2,sp3,sp4,sp5
0,5,0,0,0,0,0
240.60591581651266,3,1,1,0,0,0
295.889161884111,2,0,2,1,0,0
827.5065285851146,1,0,3,0,1,0
2607.357618063002,0,0,4,0,0,1
