Time,sum([sp99]),sum([sp87]),sum([sp63])
0,0,0,0
72.36758648244,0,0,0
1810.179627249813,0,0,0
2462.637295839616,0,0,0
3298.1519560462293,0,0,0
3904.67359090644,0,0,0
4039.9315651064762,0,0,0
4776.568849713749,1,0,0
5231.869627584654,1,0,0
6235.507782179518,2,0,0
7019.977361051885,2,0,0
7442.109022842277,3,0,0
8255.435505565909,2,1,0
8422.78067327489,2,1,0
9469.51149325781,3,1,0
10175.327825412583,4,1,0
10636.316441777908,4,1,0
11282.246567396625,2,2,1
11822.956283108302,3,2,1
12457.049939017767,5,2,1
12908.812114046148,5,2,1
13930.635534358737,5,2,1
14429.616121889705,5,2,2
14903.249150251997,7,2,2
15570.309286928212,5,4,2
15995.679442182754,6,4,2
16679.00702828036,8,4,2
17230.370828474213,10,4,2
17716.15344835628,10,4,2
18307.713610116603,10,4,2
18879.81746241092,10,5,3
19406.04982747085,12,5,3
20043.71266298738,12,5,4
20607.774772506677,12,4,4
21096.853327504876,14,5,5
21632.89040560201,16,5,4
22134.681805863267,15,8,4
22599.859395475425,17,10,4
23213.917074739806,17,10,4
23789.842159752163,18,11,4
24282.831364514484,18,10,5
24792.177892694184,18,9,8
25318.59117996793,20,11,9
25804.780242839213,22,11,9
26494.10270130359,24,10,10
27062.2036020245,23,11,11
27618.835918489523,21,14,11
28191.825514343996,22,15,12
28727.63140636826,21,15,12
29192.777634661918,21,17,14
29747.498640121088,21,15,17
30277.690245104477,20,18,17
30724.63379527985,18,22,17
31298.322288398613,20,20,19
31806.37517716837,19,21,19
32301.16562796827,22,21,22
32818.22978824559,21,20,24
33408.14417601323,24,19,26
33912.24653297901,24,21,27
34415.04879602334,22,18,32
34913.25305122345,21,19,32
35427.199503424075,21,19,32
35904.6782140231,23,21,33
36436.60992955159,19,25,33
36929.583648297805,17,27,33
37435.55711957704,18,27,34
37944.0205606858,18,28,34
38508.13521711656,19,26,36
38939.28689226193,19,26,36
39490.45596097718,19,25,36
40009.58991203753,21,26,37
40596.88016913772,22,24,40
41094.75512939395,20,23,40
41594.8015079021,19,25,41
42058.585278104045,20,27,41
42608.08383554127,24,25,42
43145.66833898676,21,23,48
43599.401816271995,21,24,49
44172.55172144444,21,24,50
44678.04722169863,21,24,50
45196.267020360974,24,23,50
45681.863232167285,28,24,50
46191.436856286266,30,23,52
46728.61987860339,29,22,55
47227.64334855593,25,26,56
47824.21775281189,29,27,53
48390.149630853164,29,26,55
48910.832110449635,34,25,56
49391.13233378196,34,25,58
49939.54394092238,32,27,60
50471.09277991342,30,28,61
50971.95160198989,29,30,64
51428.181278491655,28,30,67
51989.6660485956,33,31,68
52537.33449669715,29,34,69
53040.959796998235,26,34,73
53506.90507870444,31,29,77
54041.787267286265,29,31,78
54567.508647475675,30,31,80
55083.1307421193,34,32,82
55615.97943415672,37,31,81
56102.940956542574,37,34,82
56628.27162385884,37,35,82
57128.47640672601,38,37,82
57630.577711963364,39,38,83
58132.94660268828,39,37,87
58634.31182368556,40,36,91
59166.7097713111,35,37,93
59670.7338682535,37,37,94
60187.90375861997,37,35,98
60702.73754705472,40,35,98
61211.87612562629,43,35,99
61713.20385717513,42,34,102
62217.82673251569,46,35,103
62721.73504969943,45,36,103
63226.78077102304,41,41,104
63730.62099817041,41,39,106
64234.52656595772,43,43,106
64744.58311919197,41,41,113
65255.51647837876,41,40,116
65735.80847480854,39,41,118
66258.82543243605,42,40,119
66769.90326924018,47,38,122
67238.79608695248,47,40,122
67819.26731641851,46,39,123
68320.73151127271,41,42,126
68818.50313339396,41,43,129
69321.08283058932,40,43,131
69837.46590274849,42,44,132
70341.6801033501,39,48,132
70846.79581012914,40,45,137
71342.76543101932,42,46,140
71837.59668920883,45,44,143
72361.2363851731,41,49,144
72863.02615121221,45,49,144
73348.37072128036,48,48,146
73866.21575655836,46,50,147
74381.06232248255,50,48,148
74881.43143586438,51,48,150
75385.44355892975,49,49,154
75882.93782654994,54,47,157
76378.87686513233,57,46,160
76912.68088098061,53,49,163
77418.41269099571,52,49,166
77919.19886033983,55,48,166
78422.01384324761,53,50,166
78931.22335441034,52,51,167
79432.70891018886,54,52,169
79940.15311080602,54,51,174
80439.42076878888,51,56,174
80943.40814231991,57,53,179
81442.90017223626,61,51,183
81942.93038330543,58,53,186
82445.58708358367,55,56,187
82938.49815139364,56,55,191
83457.07649923842,56,55,191
83985.24757033556,59,58,190
84482.99476961879,62,61,192
84971.0943591879,66,59,195
85490.79491432574,66,61,199
85993.25797575117,64,56,203
86494.68150072155,64,56,207
86992.24981159883,63,60,210
87500.57952142911,60,64,208
88001.54088312111,60,62,211
88501.82643830795,62,63,214
89004.75260417041,60,59,217
89504.41199552892,64,58,219
90007.9248536801,66,55,223
90505.81778863654,67,55,227
90989.83394918483,68,56,228
91518.35121225136,68,56,230
92026.6446048289,72,54,231
92531.74158418611,77,56,232
93037.0624286218,79,58,231
93539.4717938454,81,59,231
94035.81376356973,82,61,230
94545.3573688639,81,64,231
95000.5207335753,82,62,236
95559.26797966554,78,61,242
96062.03055464658,73,63,244
96557.31962660559,73,64,243
97071.42585505758,73,64,244
97576.7252459528,73,72,244
98077.26225137897,73,69,245
98567.5047875957,73,70,249
99086.18270823198,74,69,251
99584.22636626594,77,68,255
100087.54706437644,77,72,259
100588.52910342425,78,72,262
101088.68944569858,76,77,263
101590.09477670887,75,75,265
102088.54727002232,72,75,273
102593.18549652242,76,72,277
103088.75389063878,75,76,277
103592.05386206435,74,75,282
104096.07905216959,73,74,287
104601.52654364707,75,72,295
105101.15245438382,74,74,296
105602.57740820482,75,70,300
106103.03229260124,80,69,304
106602.99266174254,80,72,306
107106.11523434117,85,66,312
107604.61582521375,83,71,318
108107.28868508078,80,75,319
108610.56460579687,75,77,323
109090.9614172959,70,84,328
109612.3706393808,72,86,330
110112.31064901684,74,85,335
110617.43015434153,71,87,336
111120.54059930718,73,81,343
111620.04519908244,73,86,345
112121.22798093474,73,88,347
112624.66012264205,73,90,355
113127.15981925215,73,91,358
113627.42845064969,78,81,365
114126.26165095661,83,84,367
114627.86314898351,88,82,370
115128.69751996445,85,81,373
115630.72988023555,84,79,380
116131.26529755937,86,82,380
116628.39923235388,83,84,381
117134.68868725916,85,89,384
117622.515911768,84,88,389
118137.70047184362,83,90,393
118638.66244599006,88,91,395
119140.18903379267,87,89,397
119641.37849341716,85,94,401
120142.22159252809,87,92,403
120644.75887137535,88,93,405
121149.35912329535,86,98,408
121635.3840772518,86,101,410
122167.22896740094,84,101,409
122669.28473761855,86,100,414
123171.07607455344,88,103,415
123671.03051092169,86,103,418
124172.00974523231,90,102,420
124672.45038464841,87,104,421
125176.17044959587,90,107,423
125681.18278619817,88,101,430
126189.59907349062,92,95,435
126691.84018500925,92,97,438
127192.65297018064,93,97,441
127694.0615192445,89,99,445
128186.25804882948,91,99,447
128700.08307813451,91,101,450
129202.44535038857,87,102,456
129706.33404407279,89,95,465
130205.40739018538,88,95,469
130708.7189545672,90,96,469
131209.8203009847,96,92,471
131708.44601618047,98,94,473
132212.34999110148,100,94,478
132713.04675868314,94,98,479
133216.37023053018,95,100,483
133717.012203138,92,101,483
134216.28299093607,92,100,489
134725.82311071455,98,98,493
135226.37310839564,93,106,495
135728.94528279742,94,105,493
136229.09730778096,95,106,491
136733.99019200524,93,108,496
137236.08784007232,94,104,500
137734.56250003364,99,106,505
138251.1953871005,102,105,505
138751.01294175605,100,107,502
139251.43449988685,98,106,505
139750.81854446558,93,107,510
140252.09891079573,100,111,510
140747.50429035982,103,110,514
