Time,Fuel,Autocatalyst,sp1
0,50000,50000,0
9.999964473190168,30500,30570,135
19.9998580093418,25680,25481,444
29.999705672802666,23229,23118,718
40.000724457128015,21756,22056,962
49.99893501944167,20469,21506,1166
60.001338360952396,19399,21489,1303
70.00146963236607,18607,21639,1419
80.00165172931415,17940,21976,1504
90.00228297027444,17273,22277,1577
100.00307304933082,16377,22703,1628
110.00320723836155,15836,23260,1663
120.0035108823295,15207,23643,1685
130.00377229852245,14683,24180,1704
140.00455715662284,14101,24575,1708
150.0046793733148,13584,25033,1718
160.00540841806327,12949,25577,1723
170.0052189922895,12529,25954,1725
180.00586506920135,12096,26363,1728
190.00656649836205,11690,26932,1729
200.0069376653582,11249,27250,1731
210.00689869505518,10730,27786,1731
220.0071797294369,10341,28053,1733
230.00793714447047,9910,28465,1733
240.00727176521073,9511,28837,1733
250.0086023398277,9151,29218,1733
260.0071674123011,8856,29490,1733
270.0089813469267,8456,29955,1733
280.00896171318743,8184,30350,1733
290.0083073928331,7839,30548,1733
300.0084737050594,7533,31034,1733
310.0099383088016,7217,31191,1733
320.0098662499281,6935,31406,1733
330.01081836665065,6674,31769,1733
340.01174842531725,6391,32048,1733
350.0114979390545,6101,32263,1733
360.0122092454655,5890,32507,1733
370.01273984691517,5675,32928,1733
380.0128221511612,5430,33137,1733
390.01366001011036,5189,33313,1733
400.014261653109,4953,33628,1733
410.01424833411323,4784,33733,1733
420.01702234129857,4633,33875,1733
430.01730054433364,4462,34186,1733
440.0172533965964,4252,34337,1733
450.01722754018533,4143,34478,1733
460.0195781539707,3945,34762,1733
470.01980944570823,3793,34832,1733
480.0199165306895,3636,34940,1733
490.020994048034,3476,35123,1733
500.021477331111,3301,35399,1733
510.0213645487061,3194,35531,1733
520.0225554253346,3113,35598,1733
530.02280917456,2949,35731,1733
540.0233368875864,2876,35815,1733
550.0234751121667,2739,36021,1733
560.0224175231036,2635,35989,1733
570.0235208313452,2554,36098,1733
580.022585091928,2467,36216,1733
590.0246775977944,2385,36320,1733
600.0238181752239,2302,36321,1733
610.024656330762,2250,36434,1733
620.0257343710697,2163,36505,1733
630.0264368832777,2090,36583,1733
640.0266839254614,1983,36651,1733
650.027621454192,1918,36837,1733
660.0276369633247,1859,36850,1733
670.0284070626008,1777,37004,1733
680.0284505330408,1723,37062,1733
690.0275961106147,1654,37055,1733
700.0294941101729,1602,37050,1733
710.029729021835,1531,37162,1733
720.029632473707,1498,37254,1733
730.0290659281745,1418,37255,1733
740.0301541699721,1381,37243,1733
750.0305498618798,1329,37336,1733
760.0319344625324,1274,37494,1733
770.0342365364132,1245,37612,1733
780.0339429768999,1184,37611,1733
790.035660711786,1147,37606,1733
800.0359341348396,1096,37643,1733
810.0360910611366,1067,37754,1733
820.0373472100621,1014,37785,1733
830.0369135259548,984,37857,1733
840.0368753854542,946,37821,1733
850.0378745946516,925,37867,1733
860.037558694074,887,37747,1733
870.0387029379483,863,37901,1733
880.0398372156288,837,38034,1733
890.0420404306293,773,38037,1733
900.0432217887962,743,38047,1733
910.0435599259011,722,37988,1733
920.0446987587804,713,38049,1733
930.0442669810326,676,38070,1733
940.0452098777683,653,38081,1733
950.0439390612805,637,38394,1733
960.0453328333373,599,38273,1733
970.044072504012,601,38168,1733
980.0484562722576,575,38135,1733
990.0485113436793,551,38388,1733
999.9997413814906,537,38444,1733
999.9999999999974,537,38444,1733
