Time,sum([Species]),sum([Species_1]),sum([sp23]),sum([sp22]),BJ2x2_5
0,100,100,0,0,100
1996.9100567286698,90,98,2,2,0
4005.591924593631,92,97,3,3,0
6023.654377564741,92,97,3,3,0
8029.403928679503,80,88,12,12,0
10106.487749692524,79,88,12,12,0
12061.496700404608,79,87,13,13,0
14105.482917696918,80,84,16,16,0
16114.437486658264,78,83,17,17,0
18197.973840693277,71,81,19,19,0
20151.48438071814,76,79,21,21,0
22267.75633592865,72,79,21,21,0
24241.315250427753,71,77,23,23,0
26229.329124172036,71,74,26,26,0
28323.997932873786,67,73,27,27,0
30347.300673753587,67,73,27,27,0
32400.078795489328,61,70,30,30,0
34441.21140632914,58,68,32,32,0
36423.601348490054,62,67,33,33,0
38472.67699399081,63,66,34,34,0
40560.85789942332,55,65,35,35,0
42617.80037743094,54,64,36,36,0
44567.1193707614,57,62,38,38,0
46655.61556114481,54,61,39,39,0
48566.10682272817,53,59,41,41,0
50667.17341345738,51,59,41,41,0
52657.884688061305,54,58,42,42,0
54739.46984178755,51,57,43,43,0
56774.490172979014,49,56,44,44,0
58796.12868739826,44,54,46,46,0
60799.88915240718,48,53,47,47,0
62792.934564371484,50,53,47,47,0
64804.42700849958,46,53,47,47,0
66785.81531030938,48,52,48,48,0
68796.71433271313,47,51,49,49,0
70816.03388957355,43,51,49,49,0
72756.98055807437,48,50,50,50,0
74804.08735100449,48,50,50,50,0
76842.26701911823,42,49,51,51,0
78930.57501185995,45,46,54,54,0
80920.73817660836,44,46,54,54,0
82953.91421205238,37,44,56,56,0
85006.36628663831,40,43,57,57,0
87005.8284180038,36,42,58,58,0
89081.12517027091,36,42,58,58,0
90967.12430356638,39,42,58,58,0
93061.50272596488,39,42,58,58,0
95080.34552097961,34,42,58,58,0
97089.07093607914,35,41,59,59,0
99089.10115176988,37,40,60,60,0
101174.04807562241,37,39,61,61,0
103186.11101264581,36,39,61,61,0
105218.39195180748,34,37,63,63,0
107298.79999271024,35,37,63,63,0
109236.10222448054,33,37,63,63,0
111283.46498697871,34,37,63,63,0
113627.36501342362,33,37,63,63,0
115606.93098347787,32,37,63,63,0
117633.62043287024,31,36,64,64,0
119671.17132474712,32,36,64,64,0
121661.62264515524,36,36,64,64,0
123735.425106472,30,36,64,64,0
125921.93950557982,34,36,64,64,0
128079.66432623613,33,36,64,64,0
130101.33473132605,32,35,65,65,0
132143.3476591533,28,34,66,66,0
134118.16469415027,29,33,67,67,0
136136.90338304132,29,33,67,67,0
138194.4161263956,28,33,67,67,0
140152.37830923244,32,32,68,68,0
142270.61901473845,27,32,68,68,0
144295.34575524615,29,31,69,69,0
146368.157023437,29,30,70,70,0
148298.97873429285,27,30,70,70,0
150458.16439615472,24,29,71,71,0
152404.29299692353,27,29,71,71,0
154537.6445686885,26,29,71,71,0
156526.8754862206,28,29,71,71,0
158581.42090314502,26,28,72,72,0
160627.76230263282,26,27,73,73,0
162710.17148565088,24,27,73,73,0
164809.56202390775,22,27,73,73,0
166888.89718303678,24,27,73,73,0
