Time,sp_0,sp_1,sp_2,sp_3,sp_4,sp_5,sp_6
0,10,10,100,0,0,0,0
1.4453050064551132,6,10,96,0,0,4,4
2.285131950459865,4,9,94,1,1,5,6
6.277674083959239,2,9,92,1,1,7,8
7.898570278627301,2,9,92,1,1,7,8
8.902418980870467,1,9,91,1,1,8,9
15.133214474394098,0,8,90,2,2,8,10
16.916217939493567,1,8,91,2,2,7,9
18.582482162898234,0,8,90,2,2,8,10
21.448349993773757,2,8,92,2,2,6,8
24.005662585694186,1,7,91,3,3,6,9
28.25431153402079,0,7,90,3,3,7,10
34.37842384686917,1,7,91,3,3,6,9
36.45892055682222,2,7,92,3,3,5,8
39.09736318044619,0,7,90,3,3,7,10
47.55978578328005,0,6,90,4,4,6,10
50.15094173967337,1,6,91,4,4,5,9
56.045541777807884,0,6,90,4,4,6,10
61.451064862317025,0,5,90,5,5,5,10
67.825181670668,1,5,91,5,5,4,9
69.28974116987797,0,5,90,5,5,5,10
73.48024256197847,0,6,90,4,4,6,10
78.38614445126548,1,5,91,5,5,4,9
80.59814511569924,0,5,90,5,5,5,10
83.71040254233341,2,7,92,3,3,5,8
84.8097425975572,1,7,91,3,3,6,9
90.68069866216695,2,7,92,3,3,5,8
92.7735259095297,1,7,91,3,3,6,9
95.78241179559019,2,7,92,3,3,5,8
97.1333000613329,2,6,92,4,4,4,8
98.87801745561526,0,6,90,4,4,6,10
101.70355159052012,2,6,92,4,4,4,8
103.58068525453385,1,7,91,3,3,6,9
111.12871867538871,0,7,90,3,3,7,10
112.6877270800557,0,6,90,4,4,6,10
115.32483563838053,0,5,90,5,5,5,10
120.80745371512862,1,4,91,6,6,3,9
124.948251951296,1,5,91,5,5,4,9
127.49557502208407,1,5,91,5,5,4,9
129.6697855932543,0,5,90,5,5,5,10
134.89042217463245,1,5,91,5,5,4,9
136.2710696505428,0,5,90,5,5,5,10
139.21592657151666,1,5,91,5,5,4,9
141.47504102384096,0,5,90,5,5,5,10
145.73034360462455,0,6,90,4,4,6,10
147.49720361098215,1,6,91,4,4,5,9
150.75071623385057,2,5,92,5,5,3,8
151.61136272056905,0,5,90,5,5,5,10
155.6781591126281,1,5,91,5,5,4,9
158.2846015693351,1,5,91,5,5,4,9
159.4687719513498,1,5,91,5,5,4,9
162.31372955196179,1,6,91,4,4,5,9
163.42264943531174,0,6,90,4,4,6,10
165.47790038314176,0,6,90,4,4,6,10
167.23945949295214,1,7,91,3,3,6,9
168.6733775426068,1,5,91,5,5,4,9
169.82085402986212,0,5,90,5,5,5,10
173.65653033065487,1,6,91,4,4,5,9
175.13864030913214,0,6,90,4,4,6,10
176.99790403950897,1,6,91,4,4,5,9
184.23053063815146,1,5,91,5,5,4,9
185.46881654260756,1,6,91,4,4,5,9
188.5992210043782,2,6,92,4,4,4,8
190.6160761345724,1,6,91,4,4,5,9
192.04225542586207,1,5,91,5,5,4,9
194.5707238134213,1,4,91,6,6,3,9
196.42844001036343,0,4,90,6,6,4,10
201.7799180651506,1,4,91,6,6,3,9
202.88177352194037,1,5,91,5,5,4,9
204.89527306709027,0,5,90,5,5,5,10
208.84946735745393,0,3,90,7,7,3,10
211.1616798096047,0,4,90,6,6,4,10
216.55005451729164,0,5,90,5,5,5,10
218.38123971262695,0,5,90,5,5,5,10
232.2795786332759,1,4,91,6,6,3,9
233.38775632537568,0,4,90,6,6,4,10
236.42672478267883,1,3,91,7,7,2,9
240.65588509277947,0,3,90,7,7,3,10
247.2745664653823,1,4,91,6,6,3,9
251.04139243949678,0,5,90,5,5,5,10
254.08595495739462,0,4,90,6,6,4,10
256.7061263439053,0,5,90,5,5,5,10
264.514547464584,1,5,91,5,5,4,9
266.93204255480833,1,5,91,5,5,4,9
268.28274444628977,1,5,91,5,5,4,9
269.24500231119845,0,5,90,5,5,5,10
270.504833467065,1,5,91,5,5,4,9
273.1620312986133,2,5,92,5,5,3,8
274.29426259707265,2,6,92,4,4,4,8
275.3301114417059,3,6,93,4,4,3,7
276.5476238338695,2,6,92,4,4,4,8
