Time	sp_3 = 0
0	1
0.0155737432480832	1
18.1264125917381	1
39.0336747821761	1
57.2214809909984	1
76.2133402891701	1
101.491505015037	1
122.837425929015	1
148.665990234929	1
179.918553045086	1
197.925982092842	1
217.734154045375	1
239.52314319316	1
263.491031255724	1
289.855708124545	1
318.856852680247	1
350.75811169152	1
385.84949660392	1
424.450020007561	1
466.910595751565	1
513.617229069969	1
564.994525720214	1
621.509552035484	1
683.676080982281	1
752.059262823757	1
827.28076284938	1
910.024412877567	1
1001.04242790857	1
1101.16224444268	1
1209.09946566875	1
1327.83040901742	1
1458.43444670097	1
1596.09004519523	1
1747.51120353891	1
1914.07447771696	1
2097.29407931282	1
2298.83564106826	1
2520.53135899925	1
2736.75123382592	1
2974.59309613527	1
3236.21914467555	1
3524.00779806985	1
3840.57531680359	1
4188.7995874107	1
4571.84628507852	1
4993.19765251312	1
5456.68415669119	1
5966.51931128706	1
6527.33798134251	1
7144.23851840352	1
7822.82910917062	1
8569.27875901444	1
9390.37337384263	1
10293.5774501536	1
11287.1019340958	1
12379.9788664321	1
13582.1434920021	1
14904.524580129	1
16359.1437770687	1
17959.2248937023	1
19719.3141219993	1
