Time	M0	M1	L0	L1
0	0	0	0	0
100	0	999.999999999999	0	981.925637550258
200	0	1000	1.50451341509694E-18	990.974922865952
300	0	1000	8.30492513275603E-18	993.987123491821
400	0	1000	1.66675049159172E-17	995.491943596488
500	0	1000	2.51083173577332E-17	996.39440202529
600	0	1000	3.34752783231187E-17	996.995800839704
700	0	1000	4.194350459629E-17	997.425236092388
800	0	1000	5.03953955848368E-17	997.74729503103
900	0	1000	5.87851021212346E-17	997.997707935291
1000	0	1000	6.71498287977434E-17	998.198095794548
1100	0	1000	7.55043818762728E-17	998.361871237228
1200	0	1000	8.38650702117435E-17	998.498583502901
1300	0	1000	9.22224475752459E-17	998.613851460558
1400	0	1000	1.00592857051359E-16	998.713064717089
1500	0	1000	1.08961050189436E-16	998.798858332537
1600	0	1000	1.17329668076776E-16	998.873893969489
1700	0	1000	1.25696081677408E-16	998.940216784742
1800	0	1000	1.34064020985287E-16	998.999070480148
1900	0	1000	1.4242977858258E-16	999.051692714909
2000	0	1000	1.50794826024525E-16	999.099279787581
2100	0	1000	1.59158576706789E-16	999.142115293336
2200	0	1000	1.67522622746348E-16	999.181110378128
2300	0	1000	1.75886509339861E-16	999.216668712821
2400	0	1000	1.8425052273473E-16	999.249306911318
2500	0	1000	1.92614558885516E-16	999.279324705588
2600	0	1000	2.00978519005143E-16	999.307056935549
2700	0	1000	2.093423495673E-16	999.332736410383
2800	0	1000	2.17706225385021E-16	999.356556258072
2900	0	1000	2.26070025492813E-16	999.378727696237
3000	0	1000	2.34433571549233E-16	999.399425456331
3100	0	1000	2.42796887185176E-16	999.418793994104
3200	0	1000	2.51160125736558E-16	999.436954181803
3300	0	1000	2.5952408055301E-16	999.454016217664
3400	0	1000	2.67889450715562E-16	999.470067949057
3500	0	1000	2.76256620769121E-16	999.485197440024
3600	0	1000	2.84625660262191E-16	999.499485467616
3700	0	1000	2.92996556362658E-16	999.513001358245
3800	0	1000	3.01368941971093E-16	999.525808220275
3900	0	1000	3.09741714123986E-16	999.537959955152
4000	0	1000	3.18114436836373E-16	999.549504687171
4100	0	1000	3.26487511748992E-16	999.560485363482
4200	0	1000	3.34860817551614E-16	999.57094270744
4300	0	1000	3.43234569770817E-16	999.5809127456
4400	0	1000	3.51608937613821E-16	999.590429632613
4500	0	1000	3.59983745886991E-16	999.599523839745
4600	0	1000	3.68358980716907E-16	999.608223253016
4700	0	1000	3.76734576099221E-16	999.616553042488
4800	0	1000	3.85110278901536E-16	999.624535668096
4900	0	1000	3.93485825153086E-16	999.63219328252
5000	0	1000	4.01860799973471E-16	999.639543353305
5100	0	1000	4.10235489396053E-16	999.646606046176
5200	0	1000	4.18609686607799E-16	999.653396607752
5300	0	1000	4.26983404055237E-16	999.659930537005
5400	0	1000	4.35356733343282E-16	999.666222349026
5500	0	1000	4.43729684335247E-16	999.67228466019
5600	0	1000	4.52101990244042E-16	999.678130661223
5700	0	1000	4.60473651609105E-16	999.683771161187
5800	0	1000	4.68844775580766E-16	999.689217382848
5900	0	1000	4.77215343091384E-16	999.694478938142
6000	0	1000	4.85585417382345E-16	999.699565148038
6100	0	1000	4.93955097311113E-16	999.704484690922
6200	0	1000	5.02324472438015E-16	999.709245390935
6300	0	1000	5.10693615457959E-16	999.713855097463
6400	0	1000	5.19062656591102E-16	999.718320492299
6500	0	1000	5.27431580533042E-16	999.722648947451
6600	0	1000	5.35800490608346E-16	999.726846433861
6700	0	1000	5.44169473449931E-16	999.73091855728
6800	0	1000	5.5253863183761E-16	999.734870306888
6900	0	1000	5.60907949962435E-16	999.738707863862
7000	0	1000	5.69277419807218E-16	999.74243696951
7100	0	1000	5.77647176121782E-16	999.746061180339
7200	0	1000	5.86017308584631E-16	999.749584369938
7300	0	1000	5.94387876118579E-16	999.753010296582
7400	0	1000	6.0275864845973E-16	999.756344630752
7500	0	1000	6.11129790729966E-16	999.759589611146
7600	0	1000	6.19501325111887E-16	999.762748260145
7700	0	1000	6.27873274021001E-16	999.765823271972
7800	0	1000	6.36245703373559E-16	999.768819208165
7900	0	1000	6.44618656440123E-16	999.771738998729
8000	0	1000	6.52992178551145E-16	999.774585171562
8100	0	1000	6.61366332682607E-16	999.777360607238
8200	0	1000	6.69741077755523E-16	999.780068035896
8300	0	1000	6.78116199723708E-16	999.782709986214
8400	0	1000	6.86491774414355E-16	999.785289312716
8500	0	1000	6.9486773798771E-16	999.787808752531
8600	0	1000	7.03244005443132E-16	999.790271078208
8700	0	1000	7.11620440192535E-16	999.792676615464
8800	0	1000	7.19996909203227E-16	999.795028274323
8900	0	1000	7.28373240873611E-16	999.797328039751
9000	0	1000	7.36749231441496E-16	999.799577723675
9100	0	1000	7.45125366393911E-16	999.801778713327
9200	0	1000	7.53501911382123E-16	999.803932371929
9300	0	1000	7.61878377036675E-16	999.806040253212
9400	0	1000	7.70254646128138E-16	999.808103623381
9500	0	1000	7.78630579540634E-16	999.810123629812
9600	0	1000	7.87006016271838E-16	999.812101301043
9700	0	1000	7.95380773432977E-16	999.814037546783
9800	0	1000	8.03755677857879E-16	999.815935341938
9900	0	1000	8.12130627969854E-16	999.817795623366
10000	0	1000	8.20505195917195E-16	999.819618564669
