Time	Species	Species_1	sp_10	sp_9	BJ2x2_5
0	1	1	0	0	1
10	0.99953236942683	0.999999919027842	5.27372307878055E-09	5.27372307878055E-09	0.195810051710723
20	0.9983991942326	0.999999011760777	1.9508874376431E-07	1.9508874376431E-07	0.0894642520101886
30	0.997068586895015	0.999996492423594	1.16115216631867E-06	1.16115216631867E-06	0.0422501177590574
40	0.995677481358346	0.999992051112912	3.51809784473925E-06	3.51809784473925E-06	0.0199705871119956
50	0.994273325100181	0.999985592111339	7.63802817764914E-06	7.63802817764914E-06	0.00944042879738793
60	0.992876427285386	0.999977097327345	1.36949092074722E-05	1.36949092074722E-05	0.0044641273086649
70	0.991495934367259	0.999966579983475	2.17527573984094E-05	2.17527573984094E-05	0.00211254999127967
80	0.990135890549582	0.999954066938245	3.18212244673082E-05	3.18212244673082E-05	0.00100313411491124
90	0.988797969309096	0.999939590944739	4.38844682139207E-05	4.38844682139207E-05	0.00047948337870524
100	0.987482710488999	0.999923187204488	5.7914713774346E-05	5.7914713774346E-05	0.000234959116740267
110	0.986190152329059	0.999904891620133	7.38792396969875E-05	7.38792396969875E-05	0.000119542248208155
120	0.9849200808152	0.999884740118289	9.17431528823691E-05	9.17431528823691E-05	6.32669766751744E-05
130	0.983672154330929	0.999862768308476	0.000111470768330504	0.000111470768330504	3.74901576396911E-05
140	0.982446001287736	0.999839011233037	0.000133026642654359	0.000133026642654359	2.60320611780949E-05
150	0.981241230711729	0.999813503343808	0.00015637572453353	0.00015637572453353	2.08159968955602E-05
160	0.98005744540398	0.999786278481936	0.000181483466154479	0.000181483466154479	1.82409900362667E-05
170	0.978894247933346	0.999757369870413	0.000208315883493283	0.000208315883493283	1.72124688340516E-05
180	0.977751244985838	0.999726810109798	0.000236839603712899	0.000236839603712899	1.76112221542038E-05
190	0.976628051996848	0.999694631179498	0.00026702190317605	0.00026702190317605	1.88500973370482E-05
200	0.975524293037672	0.999660864454154	0.000298830676334603	0.000298830676334603	2.03693793627419E-05
210	0.974439598047736	0.999625540717809	0.000332234416209095	0.000332234416209095	2.18322952405851E-05
220	0.973373612846127	0.999588689278333	0.000367203112691237	0.000367203112691237	2.34069720373408E-05
230	0.972325977783842	0.999550340019257	0.000403706176535062	0.000403706176535062	2.48998066095679E-05
240	0.971296329634651	0.99951052320997	0.000441712630798713	0.000441712630798713	2.58574320257585E-05
250	0.970284353962228	0.999469264758902	0.000481195929324565	0.000481195929324565	2.69806066765762E-05
260	0.969289692305778	0.999426594492795	0.000522125543809969	0.000522125543809969	2.79729095505419E-05
270	0.968311991151625	0.999382541798081	0.00056447139343392	0.00056447139343392	2.86499746917356E-05
280	0.967350976290918	0.999337129358764	0.000608210239474546	0.000608210239474546	2.94290765836113E-05
290	0.966406294355478	0.999290386531186	0.000653312030224414	0.000653312030224414	3.01866773892082E-05
300	0.965477612337896	0.999242340956964	0.000699748465067634	0.000699748465067634	3.09306978555175E-05
310	0.964564681915173	0.9991930132495	0.000747498436178753	0.000747498436178753	3.16818989621971E-05
320	0.963667160764084	0.999142431820175	0.000796532854641519	0.000796532854641519	3.24642327333606E-05
