Time	0.2x	0.4x	0.6x	0.8x
3600	0.034310549	0.022243356	0.01638559	0.014202283
3660.012	0.018747397	0.012156647	0.007624618	0.004589407
3719.988	0.007201613	0.002479475	-0.00049016	-0.003253756
3780	0.001792211	-0.004276414	-0.007253032	-0.007178806
3840.012	-0.005647085	-0.009809631	-0.012015044	-0.01164067
3899.988	-0.011463466	-0.015702488	-0.013863	-0.01348694
4156.812	0.179006188	0.342609144	0.48883216	0.55367804
4200.3	0.213242368	0.40639588	0.6008746	0.70838712
4243.608	0.241006632	0.48082224	0.71915416	0.84527416
4286.988	0.27185954	0.54610388	0.8291172	0.98042528
4330.296	0.305252056	0.61232196	0.92694116	1.1093716
4373.604	0.34025242	0.67237808	1.02140072	1.23012408
4416.804	0.365735272	0.72744812	1.10885112	1.3393436
4460.184	0.393809936	0.77941824	1.188172	1.44169048
4503.492	0.41843444	0.82742864	1.26188084	1.54202216
4546.8	0.441374	0.87545188	1.33254156	1.63044984
4590.216	0.46003552	0.9156394	1.39344184	1.71311684
4633.488	0.48112116	0.95299944	1.45820684	1.79324988
4680	0.50093488	0.9950886	1.519838	1.86741848
4740.012	0.52322776	1.04055568	1.59312488	1.96157564
4799.988	0.54719632	1.08262884	1.6568654	2.04558
4860	0.56641652	1.12448548	1.7206706	2.121692
4920.012	0.58374488	1.15960552	1.77573572	2.19511784
4979.988	0.59900796	1.19347092	1.82777728	2.26798668
5040	0.61563516	1.22271132	1.87269528	2.32245884
5100.012	0.62963624	1.25048772	1.9229504	2.38363972
5159.988	0.64261492	1.27915052	1.95928712	2.43541688
5220	0.64907648	1.29985172	1.9952514	2.48713632
5280.012	0.65900068	1.32212236	2.03083064	2.5270094
5339.988	0.67068008	1.3446476	2.06507156	2.57497688
5400	0.67965596	1.35949472	2.09428844	2.611044
5460.012	0.6866008	1.37927024	2.12060824	2.653758
5519.988	0.69438196	1.39268844	2.14373792	2.68553116
5580	0.69866024	1.40779408	2.16772856	2.716669
5640.012	0.7039522	1.42356424	2.18796864	2.74980372
5699.988	0.70928048	1.43603456	2.21211336	2.7809628
5760	0.71513812	1.45021864	2.22958148	2.80003156
5820.012	0.72054332	1.45866104	2.24664776	2.83131412
5879.988	0.72310024	1.46680312	2.26369996	2.85187252
5940	0.73032552	1.47650396	2.28080892	2.87354144
6000.012	0.73123036	1.48270392	2.29541084	2.89348232
6059.988	0.73315484	1.49666312	2.30922956	2.91190856
6120	0.73752408	1.5024492	2.32086396	2.93084776
6180.012	0.73897792	1.51017904	2.33145424	2.95047
6239.988	0.74312664	1.51493584	2.3432092	2.9697742
6300	0.74526828	1.52131684	2.35402496	2.9848868
6360.012	0.7468406	1.52796808	2.36348616	2.99498972
6419.988	0.74930364	1.53109816	2.3760918	3.00579588
6480	0.753419	1.53604712	2.38469896	3.01796108
6540.012	0.7539638	1.54287956	2.39062448	3.03118268
6599.988	0.75268164	1.54909624	2.39671136	3.03981128
6660	0.75585932	1.55004616	2.40344632	3.0471574
6720.012	0.75659892	1.55634716	2.40740712	3.0591746
6779.988	0.7589218	1.5595326	2.41663128	3.07098924
6840	0.7592806	1.56272404	2.42364464	3.07640276
6900.012	0.75825788	1.5647472	2.4283916	3.08547648
6959.988	0.76285812	1.56493888	2.43180664	3.0931304
7020	0.76236612	1.56913152	2.43739776	3.094846
7080.012	0.76235452	1.5738258	2.44251136	3.10850684
7139.988	0.76346464	1.57646132	2.44554944	3.11318984
7200	0.76403824	1.58150432	2.44964004	3.12033184
7260.012	0.76803468	1.57922768	2.45613244	3.12473528
7319.988	0.76736376	1.5857328	2.45304528	3.13078292
7380	0.7632526	1.58791644	2.46076616	3.13620428
7440.012	0.76558704	1.58744276	2.46499752	3.14301468
7499.988	0.7653226	1.58918252	2.46766324	3.1460112
7560	0.76654976	1.59267948	2.4704714	3.14680576
7620.012	0.766435	1.59208396	2.47181952	3.15307188
7679.988	0.76908636	1.5912816	2.4719766	3.15549876
