Time	Input1	Input2	Output
0	10	10	0
100	2.63789033581166	9.39382741504588	0.527379253037939
200	1.17055170338336	8.48175717880626	1.43516690991112
300	0.81112454846275	7.69833047424208	2.2259700268405
400	0.691754933925204	7.08429372640569	2.84591971531912
500	0.631732706765007	6.61290563075628	3.32089631975276
600	0.592238034317834	6.25379702846698	3.68207310042733
700	0.563262187141799	5.98026619353772	3.9567502414119
800	0.54135889217078	5.77237502918336	4.16525950909273
900	0.524680935569173	5.61452106720434	4.32343603740119
1000	0.511975711005637	5.49479955908835	4.44331693479914
1100	0.502200398883509	5.40375770543382	4.53442310608939
1200	0.494936388106579	5.33487864653781	4.60333956983328
1300	0.489354320779957	5.28282706097662	4.65539474896993
1400	0.48512814342018	5.24337527121129	4.69484136753707
1500	0.481903484337425	5.2134467603096	4.72475916966208
1600	0.479481894323803	5.19078063613291	4.74741658967004
1700	0.477623240984635	5.17360938061872	4.76457714014243
1800	0.47622280460383	5.16059295344028	4.77758543206398
1900	0.47516617977112	5.15073534889151	4.78743676428546
2000	0.474359746098213	5.14326421751828	4.79490225813416
2100	0.473785868399065	5.13760021232724	4.80056570727682
2200	0.473279535155956	5.13330310651985	4.80485493224762
2300	0.472929370558887	5.13006269125782	4.80809263346192
2400	0.472673411347019	5.12760185550292	4.81055240495358
2500	0.472464739071149	5.12574036002738	4.81241151996081
2600	0.472277936897658	5.12432219824373	4.81382498098173
2700	0.472201785758317	5.12325499477543	4.81489530113091
2800	0.472111050249645	5.12244406400427	4.81570519834748
2900	0.472045577763771	5.12182983140319	4.81631898240482
3000	0.471994512501456	5.12136427019334	4.81678405368451
3100	0.471963566841555	5.12101209092085	4.81713665543606
3200	0.471930799809472	5.12074502319618	4.81740308236337
3300	0.471913429214465	5.12054297647929	4.81760541046172
3400	0.471886515466589	5.12038914431248	4.81775804278853
3500	0.471881274333373	5.12027344696627	4.81787438715486
3600	0.471875843791989	5.12018581597864	4.81796235725292
3700	0.471865060875128	5.1201190574128	4.81802868768493
3800	0.471848365084652	5.12006799874991	4.81807854625029
3900	0.47184934237243	5.12003005967301	4.81811697588974
4000	0.471856655913439	5.12000167109008	4.81814641138716
4100	0.47185228794954	5.11997964017717	4.81816821738931
4200	0.471842009952943	5.11996256362299	4.81818440774226
4300	0.471846763392668	5.11995030690735	4.81819728127681
4400	0.471855938071011	5.11994133423835	4.8182072936821
4500	0.471837250614122	5.11993313069153	4.81821365135351
4600	0.471847339070114	5.11992823290944	4.81821964140376
4700	0.471833881427433	5.11992337812354	4.81822315608652
4800	0.471844232184948	5.11992081629674	4.81822681328393
4900	0.471836006792938	5.11991800512803	4.81822880377154
5000	0.471843649949678	5.11991662864136	4.8182309838051
5100	0.471851201197415	5.11991568230755	4.81823271977554
5200	0.471842929198584	5.11991420455773	4.81823335833884
5300	0.471836188197106	5.11991305935941	4.81823381906283
5400	0.471837037441107	5.11991251505033	4.81823445667405
5500	0.471840901183646	5.11991227757885	4.81823509564461
5600	0.471841261087832	5.11991195920125	4.81823545446367
5700	0.471837789630032	5.11991151392295	4.81823554577028
5800	0.47183984985799	5.11991143107594	4.81823584225539
5900	0.471843277052084	5.11991146966058	4.81823615724681
6000	0.471880562148834	5.1199133815005	4.81823807670685
6100	0.471828555064569	5.11991047447141	4.81823564211824
6200	0.47180603935976	5.11990918846436	4.81823461583086
6300	0.47182126833628	5.11990996620679	4.81823540300248
6400	0.471846098382766	5.11991127706508	4.81823664321665
6500	0.471830503200706	5.11991040290001	4.81823591563474
6600	0.471851462218807	5.11991151927841	4.81823695251127
6700	0.471848493747802	5.11991134222475	4.81823682478921
6800	0.471835003624285	5.11991059802864	4.81823618332143
6900	0.471848314087424	5.11991131123528	4.81823683754098
7000	0.471843537314938	5.11991104506851	4.81823661307965
7100	0.471835521062735	5.11991060478817	4.81823622993526
7200	0.471840893541125	5.1199108923707	4.81823649428749
7300	0.471830729739916	5.11991033776692	4.81823600483434
7400	0.471832354037056	5.1199104236349	4.81823608584752
7500	0.471839331263838	5.11991080055806	4.81823642568563
7600	0.47182645901054	5.11991010066969	4.81823580327077
7700	0.471828254001168	5.11991019709218	4.81823589125106
7800	0.471843289221294	5.11991101229995	4.81823662056071
7900	0.471839669546373	5.11991081528934	4.81823644574205
8000	0.471834444078874	5.11991053127112	4.81823619297272
8100	0.471834701632817	5.11991054492178	4.81823620578288
8200	0.471847988215495	5.11991126573598	4.81823684985031
8300	0.471829793721249	5.11991027813442	4.81823596840397
8400	0.471839273012158	5.11991079243092	4.81823642787871
8500	0.471844273160606	5.11991106368234	4.81823667027713
8600	0.471835991860668	5.11991061417373	4.81823626907886
8700	0.471835104815264	5.11991056597192	4.81823622615869
8800	0.47183787333005	5.11991071617216	4.81823636035769
8900	0.471843402598799	5.11991101620982	4.81823662832071
9000	0.471840883189827	5.1199108794546	4.81823650626709
9100	0.471841253495814	5.11991089953067	4.81823652423132
9200	0.471836462471813	5.11991063950649	4.81823629209238
9300	0.47183705768839	5.11991067179715	4.81823632094613
9400	0.471840971958079	5.11991088421561	4.81823651062548
9500	0.471838484893395	5.11991074923593	4.81823639011872
9600	0.471837400536731	5.11991069038282	4.81823633758014
9700	0.471845109403228	5.11991110873892	4.818236711126
9800	0.471843170024898	5.11991100348601	4.81823661715413
9900	0.471825991541106	5.11991007120793	4.81823578475317
10000	0.471835888051966	5.11991060828948	4.81823626430195
