Time,sp_0,sp_1,sp3,sp4
0,1,1,0,0
47.64473580525002,0,1,0,1
49.412228574729184,1,1,0,0
80.99345827973929,0,1,0,1
90.47756710466587,1,1,0,0
112.84425797361122,0,1,0,1
114.86242035964663,1,1,0,0
130.9693166302879,0,1,0,1
175.35941765642124,1,1,0,0
186.76828041624435,0,1,0,1
195.26796538218343,1,1,0,0
216.54298858134013,0,1,0,1
224.67362815901123,1,1,0,0
369.6610641515654,1,1,0,0
395.78824364015173,0,1,0,1
405.2886133686224,1,1,0,0
438.10590241984306,1,1,0,0
454.65399377106894,1,1,0,0
503.8499944988968,0,1,0,1
508.45538383483256,1,1,0,0
590.9044129310716,0,1,0,1
611.7894851169845,1,1,0,0
652.1634806764695,0,1,0,1
669.7318188927555,1,1,0,0
673.186100123115,0,1,0,1
702.0455164596,1,1,0,0
730.7791270651497,0,1,0,1
759.3621787598339,1,1,0,0
819.3046129642918,0,1,0,1
836.2871621872517,1,1,0,0
861.2281754411246,0,1,0,1
872.3929216012502,1,1,0,0
921.7651004989153,0,1,0,1
923.9645656239325,1,1,0,0
961.6342799093392,0,1,0,1
968.3678754820589,1,1,0,0
971.0397455829138,1,1,0,0
975.4773752592887,0,1,0,1
983.3270147299808,1,1,0,0
999.9999998332701,1,1,0,0
