Time,walker,fuels,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,sp12,sp13,sp14
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24060591581651267,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
663.6395587269968,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
3853.3437589330174,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
7413.045937888793,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
9672.081715652273,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
10429.565331210897,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
12057.194908774922,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
13209.649558271582,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
15358.579486387795,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
29987.444456994646,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
32626.467875612107,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
35933.09707651086,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
37583.21954969283,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
42552.015623200314,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
