Time,walker,fuels,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,sp12,sp13,sp14,sp15,sp16
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24060591581651267,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
663.6395587269968,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3853.3437589330174,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
7413.045937888793,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
9672.081715652273,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
10429.565331210897,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
12087.037120954628,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
26720.855063992003,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
30041.119680048807,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
34127.67740065218,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
34505.42614366655,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
40559.611998297856,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
