Time	S	T_7	T_6	T_5	T_4	T_3	T_2	T_1	T	sp_1	sp_0	sp_4	sp_3	sp_2	sp_7	sp_10	sp_9	sp_8	sp_5	sp_12	sp_11	sp_6	sp_14	sp_13	sp_16	sp_15	sp_18	sp_19	sp_20	sp_17	sp_22	sp_21
0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3000	0.374508009206813	0.799963188753128	0.92854335254755	0.871539618179711	0.96456312698356	0.799963188753128	0.374508009206813	0.871539618179711	0.534366203939621	0.159858194732808	0.573069331996407	0.337199864545618	0.594094177880667	0.100997046583073	0.0715764294265838	0.123421438249099	0.163897254836728	0.128460381820289	0.266423159395102	0.128433931514761	0.133650463098642	0.0715764294265838	0.0760377230235086	0.057003734367838	0.0524226587967801	0.0524226587967801	0.0360197744360108	0.030220341432558	0.00521653158388177	0.0664177038812614	0.00503894357118918	0.00503894357118918
6000	0.273525176775911	0.647419626059296	0.779302988880349	0.710926757887289	0.833172107079605	0.647419626059296	0.273525176775911	0.710926757887289	0.370182937344756	0.0966577605688449	0.527349659954384	0.253599070627891	0.918890304767955	0.0914842076942321	0.063507131827993	0.218555952841948	0.455901135033106	0.289073242112711	0.266161203775538	0.376217992027354	0.438999544105869	0.063507131827993	0.0899480788430058	0.0683762309930594	0.199125163269705	0.199125163269705	0.0538691181992559	0.10404634084188	0.0627815520785158	0.150179721848889	0.0705172892707624	0.0705172892707624
9000	0.217480981761605	0.539849593234307	0.660059271981262	0.595033097005428	0.711012624844364	0.539849593234307	0.217480981761605	0.595033097005428	0.288863852958076	0.0713828711964711	0.457454045481657	0.175993508341071	1.1161030500365	0.0798227086661754	0.0551835037711202	0.226404895745878	0.693954278150208	0.404966902994572	0.231227464668258	0.535142638700853	0.689073348863126	0.0551835037711202	0.0799019302378339	0.0650261749758344	0.325064972756738	0.325064972756738	0.0509533528631016	0.135056664993363	0.153930710162274	0.161378720770043	0.178562007248695	0.178562007248695
12000	0.181208160710098	0.461485740783449	0.568695603959843	0.5096970749928	0.614697404898816	0.461485740783449	0.181208160710098	0.509697074992801	0.238571477811697	0.0573633171015978	0.398066427050871	0.128779930993895	1.2517314471955	0.0697025988563862	0.0482113342093511	0.209036257908321	0.875605520108384	0.4903029250072	0.200388675397494	0.632648591194408	0.876639843035607	0.0482113342093511	0.0695775127681699	0.0589985289670429	0.42072541223903	0.42072541223903	0.0460018009389725	0.141311343259985	0.243991251841199	0.150037728941278	0.281266667098879	0.281266667098879
15000	0.155571413750965	0.402317766535159	0.497965982239103	0.444907640003437	0.53928591080594	0.402317766535159	0.155571413750965	0.444907640003437	0.203789945374514	0.0482185316235486	0.350522135292391	0.0996521181102455	1.35130241462205	0.0615596768898644	0.0425898734682778	0.188600822266983	1.01580644919062	0.555092359996563	0.175933244605325	0.696557936515241	1.01943122232436	0.0425898734682778	0.0611859090399195	0.0530583422356656	0.493906450956644	0.493906450956644	0.0413199285668374	0.137840803384944	0.322873285809116	0.135542480031317	0.366491537729581	0.366491537729581
18000	0.136401631431877	0.35626893234951	0.442134796689575	0.394246775754704	0.47935165624168	0.35626893234951	0.136401631431877	0.394246775754704	0.178119230453736	0.0417175990218583	0.312330811113207	0.0805920343977803	1.42763399379156	0.0550669780036059	0.037977843405193	0.170025304040685	1.12640156800362	0.605753224245297	0.156343036710152	0.741288735148484	1.13111909859083	0.037977843405193	0.0544856667903802	0.0478880209348716	0.551267557454917	0.551267557454917	0.0372168595521045	0.130817980315978	0.389830363442343	0.122137283105813	0.435727920204611	0.435727920204611
21000	0.121515493758055	0.319445065861066	0.397158761531015	0.353747725576745	0.430941430902656	0.319445065861066	0.121515493758055	0.353747725576745	0.158349739699936	0.0368342459418803	0.281237740662599	0.0674886703286577	1.48790253472332	0.0495989611195412	0.0343026597156787	0.154029338748878	1.2153108435206	0.646252274423255	0.140660582922146	0.774161589971406	1.22044928535572	0.0343026597156787	0.0490055088439097	0.0434110359542699	0.597246765579346	0.597246765579346	0.0337826693716407	0.12277087371303	0.446287695384315	0.110618302794608	0.492222935674377	0.492222935674377
24000	0.109603416896206	0.289457001181694	0.360305122117927	0.320656894950958	0.391148337422187	0.289457001181694	0.109603416896206	0.320656894950958	0.14262132710449	0.0330179102082831	0.255572052199228	0.0580341240406297	1.53672177794455	0.0451443378367116	0.0311998937692639	0.140483340009621	1.28819476762686	0.679343105049042	0.127680328687301	0.79934454885488	1.29340566894931	0.0311998937692639	0.0445185741444771	0.0396482271669692	0.634824530904565	0.634824530904565	0.0308432153042597	0.114790542483384	0.494061120094429	0.100835112842652	0.538859765039421	0.538859765039421
27000	0.0998324543722753	0.264511870922605	0.329552880809611	0.293135578808837	0.357909618849659	0.264511870922605	0.0998324543722753	0.293135578808837	0.129770958477893	0.0299385041056167	0.234051103281247	0.0509240789938537	1.57709346271327	0.0413431645176598	0.0286237078862313	0.128950296129768	1.34895480234151	0.706864421191164	0.116886307070079	0.819304962528254	1.35408995108471	0.0286237078862313	0.0407479788446862	0.0364173020007748	0.666116442346477	0.666116442346477	0.0283567380400472	0.107305392593885	0.534784988556456	0.0925329941289931	0.577914125061395	0.577914125061395
